Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Chiefs,16.4,33,542,2,9,4,93,14,2
Falcons,14.3,43,613,1,9,4,72,11,1
Raiders,13,38,492,2,7,3,80T,14,4
Lions,12.3,47,576,2,8,2,89,13,3
Steelers,12.2,45,551,2,9,4,84T,12,2
Eagles,12.2,31,378,2,2,2,84T,24,3
Bears,11.8,39,461,1,7,2,60T,13,2
Titans,11.6,37,429,1,4,1,58T,22,2
Broncos,11.3,39,442,2,4,2,65,18,2
Jets,11.1,30,332,0,4,1,47,18,2
Jaguars,11.1,34,376,0,6,2,52,18,1
Bengals,11,30,331,1,5,1,68T,8,2
Panthers,10.1,45,453,1,7,2,53T,15,3
Seahawks,9.4,34,320,1,5,1,83,22,6
Redskins,9.3,22,205,0,3,0,28,19,2
Dolphins,9.3,31,288,0,4,1,48,19,3
Patriots,9.2,50,462,0,1,0,23,25,3
Saints,9,40,360,0,2,0,27,12,1
Rams,8.6,39,337,0,3,1,44,11,9
Browns,8.2,37,302,0,3,0,38,11,3
Chargers,8,49,391,0,4,1,49,9,2
Packers,7.9,35,277,0,2,0,33,18,2
Ravens,7.7,53,410,0,3,1,44,23,3
Colts,7.7,31,240,0,4,0,26,16,4
Cowboys,7.6,51,390,0,3,1,46,24,4
Buccaneers,6.9,35,242,0,0,0,19,18,1
49ers,6.9,40,276,0,1,0,20,15,4
Vikings,6.9,36,247,0,2,1,52,16,0
Texans,6.6,40,266,0,2,1,40,8,0
Cardinals,6.4,22,140,0,0,0,19,15,1
Bills,6,41,248,0,3,0,35T,21,4
Giants,5.1,32,163,0,0,0,15,15,4
