Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Saints,38.7,2750,71,44.3,59,3144,28,4,8,5,18,36,294,0,1
Seahawks,38.2,2562,67,41.2,61,2762,29,0,13,3,22,29,140,0,2
Titans,37.8,2681,71,43.9,58,3117,26,5,15,8,13,30,276,1,0
Raiders,37.2,3574,96,46.9,73,4503,27,11,6,13,14,52,669,0,0
Bills,37.1,3151,85,44.6,71,3788,20,14,8,3,8,52,577,0,0
Panthers,37,2884,78,44.4,64,3466,23,9,13,9,12,35,402,1,3
Texans,36.7,3561,97,41.5,58,4028,36,1,13,3,37,43,407,1,0
Steelers,36.4,3062,84,41.9,72,3521,27,8,9,8,12,47,299,0,1
Falcons,36,3132,87,39.9,54,3473,19,4,13,2,33,35,301,1,0
Chargers,36,2987,83,41.6,56,3456,29,5,17,3,20,38,409,2,0
Colts,36,2267,63,42,55,2646,21,4,9,3,15,32,319,0,1
Buccaneers,35.9,2981,83,43.2,60,3590,26,15,11,6,12,39,489,0,0
Bears,35.5,2801,79,41.2,53,3258,23,6,15,9,13,36,277,0,2
Ravens,34.9,3178,91,40.8,67,3712,21,9,13,9,18,42,354,0,0
Dolphins,34.9,2929,84,39,57,3274,28,7,14,8,26,29,185,0,0
Cardinals,34.9,2859,82,42.8,64,3511,19,5,15,9,12,41,472,2,1
Browns,34.7,2532,73,41.8,60,3048,19,9,12,10,9,33,316,0,0
Cowboys,34.6,3290,95,38.9,59,3697,25,11,15,9,26,34,227,0,0
Eagles,34.6,2735,79,40.6,60,3207,27,8,11,10,15,35,272,0,0
Packers,34.6,2457,71,41.3,60,2933,17,2,14,8,15,32,316,0,0
Redskins,34.3,2884,84,40.2,69,3377,24,8,15,5,16,40,393,0,0
Giants,34.3,3089,90,40.5,59,3641,31,16,8,6,20,40,432,2,1
Lions,34.1,3240,95,39.9,58,3790,20,3,10,8,15,59,390,1,1
Jaguars,34,2313,68,42,58,2853,13,10,9,6,3,40,420,0,1
49ers,34,2311,68,38.7,56,2629,17,8,14,3,15,28,258,1,1
Patriots,33.9,2946,87,37.5,52,3266,30,4,30,4,11,38,240,1,1
Chiefs,33.6,2689,80,39.4,68,3156,21,3,14,7,18,38,327,1,1
Broncos,33.2,2257,68,43.2,62,2937,14,4,7,6,5,46,560,1,2
Rams,32.9,1941,59,42.8,57,2525,14,4,6,5,12,32,484,2,0
Vikings,32.6,2052,63,39.1,55,2462,13,4,6,5,19,29,310,0,1
Bengals,32.2,2482,77,39.6,58,3045,14,5,10,8,7,47,403,0,0
Jets,31.7,2253,71,37.4,55,2655,22,6,13,4,26,22,322,1,1
