Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Rams,39,92.9,46,100,0,0
Colts,37,100,46,100,0,0
Ravens,34,85,35,100,0,0
Panthers,32,84.2,29,96.7,1,1
Titans,32,86.5,43,97.7,0,1
Broncos,28,87.5,41,100,0,2
Jets,27,84.4,24,100,1,0
Bears,26,72.2,27,100,2,1
49ers,26,70.3,38,92.7,1,0
Patriots,25,73.5,37,97.4,1,0
Redskins,25,75.8,26,96.3,1,0
Eagles,24,82.8,42,100,0,2
Browns,23,82.1,23,95.8,0,0
Cowboys,23,79.3,30,96.8,1,0
Packers,23,88.5,51,100,0,0
Steelers,23,71.9,31,96.9,0,2
Bengals,22,88,40,100,0,1
Lions,22,95.6,26,96.3,1,2
Raiders,22,88,28,96.6,1,2
Dolphins,22,75.9,33,97.1,0,0
Saints,22,73.3,36,97.3,0,0
Seahawks,22,73.3,48,100,0,1
Jaguars,20,60.6,30,100,0,0
Giants,20,74.1,23,100,0,0
Falcons,19,70.4,32,97,0,1
Texans,18,81.8,27,100,0,0
Vikings,18,72,48,100,0,0
Cardinals,18,69.2,19,95,1,0
Bills,17,70.8,24,100,0,0
Chiefs,16,80,58,98.3,2,2
Buccaneers,16,61.5,33,97.1,0,0
Chargers,15,75,36,100,0,0
