Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Texans,54,25,2,0,28,26.2,239
Cowboys,49,15,8,4,20,20.6,219
Patriots,52,18,4,1,23,21.5,252
Panthers,47,13,3,2,31,27,237
Saints,59,22,4,2,20,20,253
Browns,53,12,3,2,12,13.5,207
Steelers,54,21,6,2,28,22.2,283
Ravens,71,29,7,3,20,20.4,278
Lions,50,17,4,2,18,22.5,247
Rams,45,12,3,2,22,22,232
Buccaneers,57,27,5,3,23,25,253
Bengals,52,22,2,2,34,27.6,256
Colts,62,24,7,4,32,23.9,298
Giants,51,22,4,1,32,26.4,244
Eagles,52,24,7,4,15,19.7,251
Packers,59,20,9,7,41,29.5,281
Chargers,47,15,8,6,29,28.7,275
Chiefs,51,17,7,2,20,21.3,242
Falcons,51,17,5,1,22,19,247
Bills,39,12,5,1,20,26.7,201
Jaguars,52,21,8,3,21,21.9,246
Bears,56,33,3,2,31,25.4,251
Titans,52,17,5,4,18,18.6,247
Jets,62,29,0,0,35,24.8,286
Cardinals,45,23,3,2,39,32.8,260
Commanders,53,21,6,4,30,27.8,252
Broncos,42,19,8,4,35,27.8,262
Vikings,56,22,7,5,33,26,275
Seahawks,63,33,9,4,23,20.9,291
49ers,56,23,8,4,21,30.9,252
Raiders,53,23,6,4,27,21.6,255
Dolphins,52,24,4,1,37,32.5,262
