Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Rams,125,70,56,5.9,739,3,1,40,32,7
Panthers,110,72,65.4,6.4,707,4,4,40,36.4,12
Vikings,137,105,76.6,6.8,934,7,1,46,33.6,11
Patriots,135,91,67.4,5.8,784,3,1,44,32.6,10
Bengals,121,77,63.6,6.8,829,6,4,44,36.4,12
Texans,125,89,71.2,6.2,781,2,3,38,30.4,7
Chiefs,138,84,60.9,5.5,762,4,1,42,30.4,10
Jaguars,141,92,65.2,6.8,953,6,4,46,32.6,9
Chargers,158,104,65.8,7.6,1199,7,3,59,37.3,16
Saints,144,85,59,5.6,804,5,5,42,29.2,9
Colts,150,103,68.7,7,1055,5,2,51,34,14
Commanders,131,84,64.1,7,920,6,2,41,31.3,13
Cowboys,108,62,57.4,5.5,592,2,7,27,25,14
Browns,106,57,53.8,4.7,500,3,1,22,20.8,12
Dolphins,138,98,71,7.3,1004,7,2,47,34.1,10
Bills,110,74,67.3,6.2,678,3,8,37,33.6,16
Giants,119,74,62.2,7,831,4,0,38,31.9,4
Raiders,123,87,70.7,6.6,811,8,1,44,35.8,7
Broncos,128,100,78.1,8.9,1142,13,2,55,43,8
Packers,131,85,64.9,6,789,4,3,42,32.1,11
Steelers,144,86,59.7,7.1,1018,8,4,51,35.4,13
Lions,154,97,63,5.7,879,5,3,46,29.9,13
Eagles,164,110,67.1,6.4,1043,9,2,59,36,11
Seahawks,165,113,68.5,6.8,1120,5,3,60,36.4,16
Buccaneers,149,96,64.4,6,895,4,6,46,30.9,12
Jets,138,93,67.4,6.2,863,5,5,45,32.6,7
Bears,127,89,70.1,8.4,1071,10,2,45,35.4,2
Cardinals,129,90,69.8,7.5,970,5,3,53,41.1,12
Falcons,126,79,62.7,5.6,705,6,3,41,32.5,5
49ers,175,115,65.7,5,873,4,5,45,25.7,9
Titans,137,97,70.8,7,965,5,1,46,33.6,13
Ravens,165,101,61.2,4.1,673,3,4,41,24.8,15
