Team,INT,INT TD,INT Yds,Lng
Bills,8,1,74,32T
Cowboys,7,2,126,54T
Buccaneers,6,1,52,26T
Saints,5,0,5,5
Jets,5,0,1,1
49ers,5,0,69,28
Ravens,4,0,124,52
Panthers,4,1,141,99T
Bengals,4,0,20,20
Jaguars,4,1,79,61T
Steelers,4,1,30,30T
Falcons,3,0,3,3
Lions,3,1,84,50T
Packers,3,1,56,37T
Texans,3,0,33,33
Cardinals,3,0,36,35
Chargers,3,0,17,9
Seahawks,3,2,158,97
Bears,2,0,42,42
Broncos,2,0,5,5
Colts,2,0,34,34
Dolphins,2,0,5,5
Eagles,2,1,70,70T
Commanders,2,0,3,3
Browns,1,0,0,0
Titans,1,0,10,10
Chiefs,1,0,16,16
Rams,1,0,0,0
Raiders,1,0,11,11
Vikings,1,0,0,0
Patriots,1,0,0,0
Giants,0,0,0,0
