Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Raiders,681,2627,3.9,20,0,0,37T,156,22.9,0
Rams,621,2575,4.2,19,0,0,48T,139,22.4,0
Patriots,603,2303,3.8,13,0,0,41,132,21.9,0
Bears,599,2811,4.7,18,0,0,73,141,23.5,0
Falcons,582,1890,3.2,9,0,0,35,102,17.5,0
Steelers,581,2258,3.9,20,0,0,61T,122,21,0
Colts,566,2123,3.8,17,0,0,64T,111,19.6,0
Cowboys,564,2369,4.2,21,0,0,84,118,20.9,0
49ers,564,2086,3.7,16,0,0,80,126,22.3,0
Giants,548,1897,3.5,11,0,0,32,105,19.2,0
Broncos,523,2043,3.9,16,0,0,62T,101,19.3,0
Dolphins,519,2366,4.6,18,0,0,77,143,27.6,0
Browns,510,2200,4.3,9,0,0,78,119,23.3,0
Vikings,510,1821,3.6,9,0,0,51,110,21.6,0
Oilers,509,1989,3.9,15,0,0,77,112,22,0
Cardinals,507,2042,4,19,0,0,62,114,22.5,0
Redskins,502,1752,3.5,4,0,0,34,79,15.7,0
Bengals,488,1861,3.8,10,0,0,65,110,22.5,0
Chargers,488,1761,3.6,10,0,0,46,93,19.1,0
Saints,484,2024,4.2,14,0,0,36,115,23.8,0
Eagles,484,1722,3.6,10,0,0,70,98,20.2,0
Lions,479,1706,3.6,11,0,0,35T,94,19.6,0
Packers,469,1464,3.1,5,0,0,40,81,17.3,0
Buccaneers,465,1424,3.1,4,0,0,35,84,18.1,0
Seahawks,461,1964,4.3,12,0,0,39T,116,25.2,0
Chiefs,456,1843,4,13,0,0,59T,95,20.8,0
Bills,450,1861,4.1,3,0,0,66,93,20.7,0
Jets,437,1618,3.7,6,0,0,27,83,19,0
