Team,Rsh TD,Rec TD,Tot TD,2-PT
Cowboys,21,18,41,0
Raiders,20,21,41,0
Steelers,20,17,37,0
Rams,19,16,36,0
Cardinals,19,14,35,0
Bears,18,11,31,0
Dolphins,18,22,41,0
Colts,17,17,34,0
Broncos,16,15,34,0
49ers,16,9,27,0
Oilers,15,14,33,0
Saints,14,13,30,0
Chiefs,13,11,26,0
Patriots,13,17,33,0
Seahawks,12,23,37,0
Lions,11,7,22,0
Giants,11,6,20,0
Bengals,10,12,26,0
Eagles,10,18,29,0
Chargers,10,11,24,0
Falcons,9,8,19,0
Browns,9,19,31,0
Vikings,9,19,29,0
Jets,6,14,21,0
Packers,5,6,14,0
Buccaneers,4,3,10,0
Redskins,4,15,19,0
Bills,3,12,18,0
