Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Rams,30,63.8,40,95.2,1,0
Steelers,29,67.4,36,97.3,0,0
Falcons,26,68.4,34,100,0,0
49ers,26,78.8,26,100,0,0
Dolphins,25,67.6,38,100,0,0
Chiefs,24,63.2,21,91.3,0,0
Eagles,24,60,34,100,0,0
Raiders,23,69.7,31,100,0,1
Cardinals,23,71.9,31,100,1,0
Browns,22,71,24,100,0,0
Broncos,22,66.7,40,100,0,0
Redskins,22,52.4,37,100,1,0
Bills,21,70,27,100,2,1
Bengals,21,67.7,31,96.9,0,0
Lions,21,63.6,28,100,0,0
Packers,21,60,19,95,0,0
Vikings,21,60,33,100,0,0
Cowboys,19,63.3,45,97.8,0,0
Saints,17,47.2,16,100,0,0
Giants,17,60.7,25,100,0,0
Jets,17,70.8,27,100,1,0
Colts,16,57.1,22,91.7,1,0
Oilers,15,62.5,21,100,1,0
Patriots,15,51.7,25,83.3,1,0
Bears,14,58.3,21,95.4,1,1
Chargers,12,44.4,19,90.5,0,2
