Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Chargers,12.4,33,408,2,0,0,84T,9,0
49ers,10.6,37,393,0,0,0,61,11,0
Dolphins,10.3,37,382,0,0,0,33,18,0
Broncos,10.1,40,404,0,0,0,53,9,0
Saints,9.9,22,218,0,0,0,37,22,0
Patriots,9.8,33,324,0,0,0,54,12,0
Rams,9.4,51,478,0,0,0,34,14,0
Falcons,8.9,48,429,0,0,0,57,13,0
Bills,8.7,32,279,1,0,0,51T,10,0
Browns,8.6,36,308,0,0,0,46,15,0
Redskins,8.3,40,331,0,0,0,27,17,0
Lions,8.3,35,289,0,0,0,42,12,0
Steelers,8,52,416,0,0,0,44,9,0
Eagles,7.7,15,116,0,0,0,43,17,0
Giants,7.6,21,160,0,0,0,28,17,0
Oilers,7.6,30,227,0,0,0,74,8,0
Raiders,7.5,46,344,1,0,0,63T,13,0
Bengals,7.4,45,333,0,0,0,47,14,0
Cardinals,7.1,27,192,0,0,0,51,13,0
Chiefs,6.6,42,279,0,0,0,48,18,0
Cowboys,6.2,28,174,0,0,0,46,21,0
Jets,6.1,27,165,0,0,0,23,21,0
Bears,5.5,37,204,1,0,0,72,6,0
Colts,5.4,24,129,0,0,0,13,13,0
Vikings,5,28,140,0,0,0,16,16,0
Packers,4.6,30,137,0,0,0,26,19,0
