Team,INT,INT TD,INT Yds,Lng
Buccaneers,31,4,494,97
Ravens,25,2,449,98T
Falcons,24,1,285,41T
Packers,24,4,516,89
Raiders,21,3,347,98
Dolphins,21,1,258,62T
Saints,20,1,211,43
Cowboys,19,3,227,85
Steelers,19,1,351,84T
49ers,19,1,332,60T
Seahawks,19,1,245,46T
Titans,18,3,198,32
Chiefs,18,0,302,50
Patriots,18,3,277,90
Panthers,17,1,261,62
Browns,17,0,148,71
Cardinals,17,2,186,38T
Chargers,17,1,246,46
Vikings,16,1,191,43T
Jets,15,0,207,65
Eagles,15,2,193,80
Jaguars,14,0,193,53
Redskins,14,1,173,78T
Rams,12,0,74,36
Giants,11,1,93,32T
Bills,10,1,147,42
Lions,10,1,173,49
Texans,10,2,188,70T
Colts,10,1,170,53T
Bears,9,0,111,35
Bengals,9,2,187,102
Broncos,9,2,107,31T
