Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Dolphins,407,1554,3.8,9,86,21.1
Falcons,441,2047,4.6,12,97,22
Steelers,359,1375,3.8,16,77,21.4
Titans,372,1424,3.8,7,75,20.2
Eagles,390,1660,4.3,5,83,21.3
49ers,394,1652,4.2,14,96,24.4
Giants,407,1830,4.5,12,87,21.4
Vikings,394,1666,4.2,15,83,21.1
Chargers,410,1739,4.2,15,91,22.2
Chiefs,431,2067,4.8,19,120,27.8
Broncos,379,1489,3.9,21,100,26.4
Jaguars,487,2071,4.2,14,112,23
Panthers,448,1653,3.7,12,95,21.2
Packers,413,1998,4.8,14,122,29.5
Redskins,435,1754,4,14,96,22.1
Colts,459,1992,4.3,16,114,24.8
Seahawks,500,2441,4.9,18,140,28
Ravens,471,1762,3.7,17,95,20.2
Bengals,498,2003,4,16,104,20.9
Saints,439,1991,4.5,18,108,24.6
Texans,509,2089,4.1,14,116,22.8
Cowboys,481,1818,3.8,10,90,18.7
Raiders,384,1453,3.8,14,96,25
Cardinals,490,2146,4.4,17,117,23.9
Buccaneers,410,1554,3.8,8,79,19.3
Browns,483,2079,4.3,12,107,22.2
Jets,427,1973,4.6,17,116,27.2
Patriots,467,2198,4.7,17,129,27.6
Bills,473,2122,4.5,20,107,22.6
Bears,504,2076,4.1,13,110,21.8
Lions,495,1967,4,19,111,22.4
Rams,445,1816,4.1,15,105,23.6
