Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,7,100,5,83.3,0,0
Titans,7,100,3,100,0,0
Rams,6,75,5,100,0,0
Eagles,6,85.7,5,83.3,0,0
49ers,6,100,6,100,0,0
Falcons,5,100,4,80,0,0
Browns,5,83.3,1,100,0,0
Texans,5,83.3,2,100,0,0
Saints,5,100,3,100,0,0
Cardinals,5,83.3,3,100,0,0
Chargers,5,100,5,100,0,0
Bills,4,100,6,100,0,0
Panthers,4,100,1,100,0,0
Jaguars,4,100,4,100,0,0
Dolphins,4,66.7,6,85.7,0,0
Jets,4,100,2,100,0,1
Buccaneers,4,80,5,100,0,0
Commanders,4,66.7,5,100,0,0
Ravens,3,75,5,100,0,0
Bears,3,100,2,100,0,0
Broncos,3,75,4,80,0,0
Chiefs,3,100,4,100,0,0
Seahawks,3,50,5,100,0,0
Bengals,2,66.7,3,100,0,1
Packers,2,100,8,100,0,0
Raiders,2,100,3,100,0,0
Steelers,2,100,3,100,0,0
Lions,1,100,7,100,0,0
Colts,1,100,7,100,0,0
Vikings,1,100,6,100,0,0
Patriots,1,100,4,100,0,0
Giants,1,33.3,4,100,0,0
