Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,49.5,198,4,49.5,53,198,2,0,1,0,3,0,0,0,0
Panthers,48.5,485,10,50.5,69,505,3,1,2,0,4,3,20,0,0
Buccaneers,48,480,10,53.8,72,538,5,1,2,2,1,4,18,0,0
Vikings,47.9,383,8,51.8,58,414,2,1,1,0,1,5,31,0,0
Chiefs,46.6,419,9,48.9,58,440,4,0,3,0,3,3,21,0,0
Seahawks,46.3,324,7,55.4,73,388,2,1,1,2,0,3,24,0,0
Falcons,46,368,8,47.8,60,382,3,2,1,0,2,3,14,0,0
Jets,45.7,411,9,46.1,58,415,3,2,0,0,6,1,4,0,0
Cowboys,44.5,267,6,50.2,56,301,2,0,1,1,2,2,14,0,0
Jaguars,43.8,438,10,46.6,57,466,6,1,1,0,3,5,28,0,0
Lions,43.2,259,6,45.8,61,275,3,0,1,0,2,3,16,0,0
Browns,42.6,511,12,47.4,66,569,4,4,0,1,3,4,38,0,0
49ers,42.6,298,7,47.3,67,331,5,1,1,1,2,2,13,0,0
Bears,42.6,383,9,49.3,55,444,2,2,2,0,0,5,61,0,0
Giants,42.3,254,6,45.2,62,271,1,0,1,0,2,3,17,0,0
Cardinals,42.1,337,8,47.6,56,381,2,1,0,1,2,4,24,0,0
Dolphins,41.8,167,4,45.5,55,182,0,0,0,0,1,3,15,0,0
Broncos,41,205,5,42.8,46,214,1,1,1,0,1,2,9,0,0
Rams,40.7,122,3,51,72,153,1,0,0,0,1,2,31,0,0
Commanders,40.6,365,9,48.2,66,434,5,0,2,0,2,5,69,0,0
Titans,40.5,324,8,51.6,63,413,1,1,0,1,0,6,69,0,0
Packers,39.1,352,9,49.8,68,448,1,0,0,3,2,4,36,0,0
Chargers,38.7,348,9,42.1,62,379,4,0,1,1,5,2,11,0,0
Eagles,38.4,307,8,43.4,54,347,2,0,1,0,2,5,40,0,0
Steelers,37.9,493,13,44.2,61,574,5,3,3,2,2,3,41,0,0
Saints,37.9,379,10,45.1,52,451,3,2,0,1,1,6,52,0,0
Patriots,37.9,341,9,46.4,65,418,6,1,0,1,3,4,57,0,0
Bengals,37.8,492,13,40.7,54,529,3,2,0,1,6,4,17,0,0
Texans,37.6,263,7,43.3,51,303,0,2,0,2,2,1,0,0,0
Colts,35,350,10,42.8,51,428,2,2,2,0,2,4,78,0,0
Ravens,34.4,241,7,52.3,67,366,3,0,0,1,3,3,105,1,0
Bills,32.2,129,4,48.8,54,195,2,1,0,0,1,2,66,1,0
