Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,45,1,45,0,1,1,45,2,0
Bengals,26.2,4,105,1,1,1,81T,1,0
Jets,24.3,3,73,1,1,1,65T,3,0
Packers,18,3,54,0,1,0,35,1,0
Seahawks,18,1,18,0,0,0,18,1,0
Jaguars,15.8,4,63,0,1,1,48,0,0
Dolphins,13.5,2,27,0,0,0,18,4,0
49ers,13.5,4,54,0,0,0,19,2,0
Chargers,13.2,5,66,0,1,0,20,0,0
Lions,11,3,33,0,0,0,17,3,0
Texans,11,4,44,0,0,0,14,5,0
Eagles,10.7,3,32,0,1,0,25,2,1
Giants,10.5,2,21,0,0,0,14,1,0
Rams,9,2,18,0,0,0,11,2,0
Cowboys,8.5,2,17,0,0,0,10,4,0
Bears,8,2,16,0,0,0,8,2,0
Titans,8,6,48,0,0,0,14,3,0
Steelers,8,2,16,0,0,0,14,2,0
Saints,7.3,3,22,0,0,0,16,3,0
Colts,6.7,3,20,0,0,0,16,3,0
Patriots,6.6,5,33,0,1,0,21,2,1
Vikings,6.2,6,37,0,1,0,20,1,1
Falcons,6,4,24,0,0,0,16,2,0
Buccaneers,6,6,36,0,0,0,16,0,1
Panthers,5.8,5,29,0,0,0,13,2,0
Browns,5,3,15,0,0,0,6,5,0
Cardinals,4.8,5,24,0,0,0,13,3,0
Bills,4,1,4,0,0,0,4,4,0
Chiefs,4,6,24,0,0,0,9,2,1
Commanders,3.8,5,19,0,0,0,6,2,0
Ravens,2,1,2,0,0,0,2,3,0
