Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Vikings,273,197,72.2,6.5,1769,11,6,95,34.8,23
Chiefs,256,155,60.6,5.5,1409,11,5,79,30.9,28
Commanders,274,174,63.5,7.5,2054,18,5,95,34.7,25
Saints,273,157,57.5,5.6,1516,10,9,74,27.1,15
Lions,281,172,61.2,6.3,1761,11,7,94,33.4,21
Rams,263,160,60.8,6.6,1748,8,4,90,34.2,15
Bills,255,173,67.8,6.4,1633,8,8,87,34.1,28
Colts,281,182,64.8,7,1978,9,6,92,32.7,21
Eagles,318,212,66.7,6.2,1980,16,4,110,34.6,25
Patriots,279,186,66.7,6.4,1786,11,4,98,35.1,15
Dolphins,269,187,69.5,6.6,1772,12,4,88,32.7,27
Jaguars,334,210,62.9,6.3,2108,11,11,100,29.9,16
Panthers,194,129,66.5,6.7,1306,10,5,75,38.7,16
Cardinals,250,177,70.8,7.2,1801,12,5,98,39.2,24
Bengals,225,141,62.7,7.2,1625,9,10,82,36.4,21
Falcons,255,159,62.4,6.1,1557,15,4,83,32.6,15
Raiders,252,174,69,6.2,1576,10,6,85,33.7,16
Chargers,267,182,68.2,7.8,2082,12,6,102,38.2,23
Buccaneers,258,176,68.2,7,1792,8,7,87,33.7,18
Giants,257,154,59.9,6.6,1692,9,4,81,31.5,15
Bears,294,205,69.7,7.1,2098,17,6,108,36.7,10
Browns,193,107,55.4,5.9,1143,8,5,50,25.9,20
Texans,245,173,70.6,6.8,1653,5,4,80,32.6,15
Packers,226,153,67.7,6.4,1450,8,4,78,34.5,19
Broncos,265,195,73.6,7.6,2015,16,7,104,39.2,17
Steelers,243,146,60.1,7.1,1718,10,7,81,33.3,22
Seahawks,266,173,65,6.2,1640,8,6,87,32.7,26
Cowboys,202,120,59.4,6.2,1250,9,9,59,29.2,18
Ravens,308,189,61.4,4.6,1413,6,8,81,26.3,31
49ers,312,212,68,5.9,1831,10,11,91,29.2,18
Jets,228,147,64.5,5.7,1291,8,8,71,31.1,17
Titans,227,158,69.6,7.2,1624,7,2,79,34.8,21
