Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Patriots,36,90,40,100,1,0
Giants,36,92.3,41,100,0,0
Eagles,33,82.5,45,100,1,1
Buccaneers,32,84.2,35,97.2,1,1
Rams,31,86.1,19,100,0,0
Bills,30,79,34,100,1,1
Browns,30,83.3,18,100,1,0
Falcons,29,93.6,42,100,0,1
Titans,29,87.9,40,100,0,0
Texans,29,87.9,37,100,0,2
Vikings,29,85.3,40,100,0,1
Niners,29,87.9,34,100,1,0
Ravens,28,80,41,100,0,0
Panthers,28,90.3,46,100,0,0
Packers,27,79.4,46,100,0,2
Steelers,27,87.1,36,97.3,0,0
Chargers,27,84.4,46,100,1,0
Bears,26,89.7,41,100,1,0
Redskins,26,72.2,25,100,0,1
Broncos,25,73.5,39,97.5,0,0
Cardinals,25,89.3,44,100,1,0
Raiders,24,80,25,96.2,2,3
Jets,24,82.8,41,100,1,0
Seahawks,24,88.9,30,100,0,0
Bengals,22,88,18,100,0,0
Saints,22,81.5,53,98.2,0,3
Lions,21,95.4,25,96.2,0,0
Dolphins,21,84,40,100,0,0
Cowboys,20,90.9,42,100,1,0
Colts,20,80,43,100,0,0
Jaguars,19,76,33,100,0,0
Chiefs,16,72.7,31,100,0,0
