Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Titans,25.4,52,1319,0,41,5,52,0,0
Seahawks,25.3,77,1948,0,53,8,61,1,3
Patriots,25.2,62,1562,1,40,7,95T,0,3
Redskins,25.1,55,1382,0,39,4,87,1,0
Bears,24.9,77,1919,1,51,11,83T,0,2
Buccaneers,24.8,60,1486,1,40,4,97T,0,3
Bills,24.2,75,1816,1,43,7,98T,0,1
Saints,24.1,62,1496,0,36,8,88,1,1
Chargers,24,62,1485,1,43,6,103T,0,3
Falcons,23.9,59,1408,0,37,4,92,0,1
Eagles,23.5,60,1411,1,34,5,100T,0,1
Giants,23.4,55,1284,0,34,3,83,0,1
Niners,23.2,76,1767,1,47,4,104T,0,2
Bengals,23.2,67,1551,0,39,6,60,0,1
Jets,23.1,61,1407,1,31,7,94,0,2
Panthers,22.9,60,1372,0,37,4,59,0,0
Raiders,22.8,78,1777,2,40,7,92T,1,3
Jaguars,22.7,74,1678,0,50,3,51,0,2
Browns,22.6,58,1312,1,36,4,92T,0,0
Vikings,22.4,61,1369,0,35,3,49,0,2
Cowboys,22.2,70,1554,1,41,4,98T,0,2
Rams,22,80,1761,0,54,2,75,0,1
Broncos,21.8,71,1550,0,46,3,95,1,1
Lions,21.8,83,1807,0,52,2,46,0,4
Cardinals,21.7,75,1630,1,45,3,93T,1,1
Texans,21.5,72,1550,0,42,1,50,0,0
Chiefs,21.4,80,1716,0,44,3,59,0,3
Colts,20.8,63,1312,0,37,1,46,0,0
Steelers,20.3,50,1013,0,27,1,43,1,1
Dolphins,20.2,60,1213,0,31,2,60,0,1
Ravens,20.1,50,1007,0,28,0,39,0,1
Packers,20.1,69,1387,0,37,3,45,0,0
