Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Rams,615,2799,4.6,17,0,0,61,144,23.4,0
Bills,603,2222,3.7,17,0,0,48T,134,22.2,0
Cowboys,595,2378,4,26,0,0,56,143,24,0
Patriots,588,2240,3.8,19,0,0,44,139,23.6,0
Bears,579,2440,4.2,22,0,0,69T,139,24,0
Oilers,573,2635,4.6,18,0,0,55T,155,27,0
Lions,572,2599,4.5,21,0,0,52,143,25,0
Falcons,559,2405,4.3,15,0,0,37T,145,25.9,0
Chiefs,552,1873,3.4,15,0,0,38T,130,23.6,0
Raiders,541,2146,4,14,0,0,89,108,20,0
Colts,527,2078,3.9,20,0,0,51T,128,24.3,0
Eagles,527,1995,3.8,19,0,0,72,118,22.4,0
Cardinals,519,2183,4.2,19,0,0,52,123,23.7,0
Redskins,517,2016,3.9,12,0,0,55,109,21.1,0
Bengals,513,2069,4,9,0,0,57T,111,21.6,0
Steelers,512,1986,3.9,15,0,0,28,111,21.7,0
Chargers,509,1879,3.7,18,0,0,53,106,20.8,0
Packers,493,1806,3.7,13,0,0,38,119,24.1,0
Dolphins,492,1876,3.8,9,0,0,65,107,21.8,0
Giants,483,1730,3.6,10,0,0,35,100,20.7,0
Broncos,480,1865,3.9,16,0,0,35,107,22.3,0
Buccaneers,477,1839,3.9,9,0,0,40T,102,21.4,0
Jets,470,1873,4,17,0,0,31T,124,26.4,0
Seahawks,456,1783,3.9,13,0,0,32T,114,25,0
Browns,436,1673,3.8,15,0,0,56T,102,23.4,0
Vikings,433,1642,3.8,14,0,0,55,100,23.1,0
49ers,415,1743,4.2,10,0,0,47T,105,25.3,0
Saints,348,1362,3.9,9,0,0,26,80,23,0
