Team,Rsh TD,Rec TD,Tot TD,2-PT
Chiefs,32,24,63,0
Eagles,23,17,43,0
Broncos,20,19,42,1
Rams,19,23,45,0
Ravens,18,16,41,0
Packers,18,32,52,0
Falcons,17,14,35,0
Seahawks,17,27,46,0
Colts,16,29,47,0
Chargers,16,21,38,0
49ers,16,25,44,0
Raiders,15,9,29,0
Vikings,15,32,51,0
Texans,14,14,29,0
Dolphins,14,17,34,0
Bills,13,11,26,0
Bears,13,12,29,2
Jaguars,13,17,30,0
Bengals,12,26,39,0
Cowboys,11,17,31,0
Titans,11,30,46,2
Saints,11,25,39,0
Steelers,10,19,33,1
Panthers,9,19,33,0
Patriots,9,23,38,0
Browns,8,17,27,0
Jets,8,20,29,0
Redskins,8,21,30,0
Giants,6,16,24,2
Lions,5,17,26,0
Cardinals,5,18,25,1
Buccaneers,5,27,35,0
