Team,FR TD,SFTY,INT TD
Falcons,4,3,1
Oilers,3,0,2
Eagles,3,0,1
Chiefs,2,1,0
Cardinals,2,0,1
Bills,1,0,1
Browns,1,1,3
Cowboys,1,1,2
Broncos,1,0,2
Lions,1,1,2
Packers,1,1,0
Rams,1,1,1
Raiders,1,1,0
Dolphins,1,0,0
Steelers,1,0,2
49ers,1,1,0
Bears,0,0,1
Bengals,0,1,1
Colts,0,0,0
Vikings,0,0,2
Patriots,0,0,0
Saints,0,0,2
Giants,0,0,0
Jets,0,0,2
Chargers,0,0,1
Seahawks,0,0,2
Buccaneers,0,0,0
Redskins,0,0,3
