Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Stephen Gostkowski,99,6228,1095,40,40.4,58,18.9,1,0,0,0
Greg Zuerlein,95,6147,411,73,76.8,20,20.6,0,0,2,0
Wil Lutz,94,6011,788,58,61.7,32,24.6,3,0,1,0
Chris Boswell,90,5720,906,46,51.1,43,21.1,0,0,1,0
Justin Tucker,90,5610,615,55,61.1,33,18.6,2,0,0,0
Kai Forbath,88,5587,1009,44,50,44,22.9,0,0,0,0
Matt Bosher,84,5332,863,49,58.3,33,26.2,2,0,0,0
Jake Elliott,84,5258,857,42,50,40,21.4,1,1,1,0
Graham Gano,83,5313,254,70,84.3,12,21.2,1,0,1,0
Ryan Succop,80,5120,750,47,58.8,32,23.4,1,0,0,0
Bradley Pinion,79,5100,300,64,81,13,23.1,0,0,1,0
Harrison Butker,78,5006,318,61,78.2,17,18.7,0,0,0,0
Blair Walsh,78,4861,738,39,50,37,20,1,0,1,0
Phil Dawson,76,4647,863,34,44.7,39,22.1,2,0,1,1
Ka'imi Fairbairn,75,4718,542,49,65.3,26,20.8,1,0,0,0
Steven Hauschka,74,4365,681,37,50,31,22,6,1,0,0
Chandler Catanzaro,71,4349,455,45,63.4,22,20.7,4,1,1,0
Brandon McManus,71,4191,460,45,63.4,20,23,6,0,0,1
Rigoberto Sanchez,70,4390,441,46,65.7,23,19.2,1,0,0,0
Mason Crosby,68,4246,665,36,52.9,30,22.2,2,2,0,0
Cody Parkey,67,4015,665,28,41.8,34,19.6,5,4,0,0
Randy Bullock,65,4109,782,30,46.2,34,23,0,0,1,0
Giorgio Tavecchio,64,4058,298,48,75,15,19.9,1,1,0,0
Aldrick Rosas,62,3849,656,26,41.9,32,20.5,2,0,2,0
Patrick Murray,59,3590,1081,14,23.7,43,25.1,2,0,0,2
Josh Lambo,57,3322,601,22,38.6,32,18.8,2,1,1,0
Dan Bailey,56,3605,519,32,57.1,24,21.6,0,0,0,0
Zane Gonzalez,56,3286,452,33,58.9,19,23.8,4,0,0,1
Sam Martin,50,3242,526,25,50,25,21,0,0,0,0
Nick Rose,47,2941,274,32,68.1,13,21.1,2,0,1,0
Dustin Hopkins,40,2574,191,29,72.5,11,17.4,0,0,0,0
Connor Barth,37,2374,488,17,46,20,24.4,0,0,0,1
Mike Nugent,36,2262,347,18,50,18,19.3,0,0,0,0
Jason Myers,35,2151,216,26,74.3,8,27,1,0,1,1
Nick Novak,32,2021,564,9,28.1,23,24.5,0,0,0,0
Jeff Locke,23,1485,180,16,69.6,7,25.7,0,0,0,0
Cairo Santos,20,1308,168,12,60,8,21,0,0,0,0
Nick Folk,18,1114,86,13,72.2,4,21.5,1,0,0,0
Matt Prater,17,977,149,6,35.3,10,14.9,1,0,0,0
Travis Coons,15,943,254,4,26.7,11,23.1,0,0,0,0
Younghoe Koo,14,922,173,8,57.1,6,28.8,0,0,0,0
Sam Ficken,8,511,109,5,62.5,3,36.3,0,0,0,0
Drew Kaser,7,449,130,2,28.6,5,26,0,0,0,0
Caleb Sturgis,6,374,77,2,33.3,4,19.2,0,0,0,0
Jeff Heath,5,308,50,2,40,3,16.7,0,0,0,0
Robbie Gould,4,101,2,0,0,2,1,2,1,0,0
Kamu Grugier-Hill,4,248,81,1,25,3,27,0,0,0,0
Pat O'Donnell,4,260,54,2,50,2,27,0,0,0,0
Riley Dixon,2,118,37,0,0,2,18.5,0,0,0,0
Marshall Koehn,2,139,29,1,50,1,29,0,0,0,0
Jon Ryan,2,125,52,0,0,2,26,0,0,0,0
Britton Colquitt,1,64,19,0,0,1,19,0,0,0,0
Dustin Colquitt,1,48,0,0,0,0,0,0,0,0,0
Lachlan Edwards,1,55,4,0,0,1,4,0,0,0,0
Shane Lechler,1,46,5,0,0,1,5,0,0,0,0
Andy Lee,1,68,17,0,0,1,17,0,0,0,0
Thomas Morstead,1,65,0,1,100,0,0,0,0,0,0
Ryan Quigley,1,51,14,0,0,1,14,0,0,0,0
Kasey Redfern,1,65,23,0,0,1,23,0,0,0,0
Tress Way,1,61,12,0,0,1,12,0,0,0,0
