Team,Rsh TD,Rec TD,Tot TD,2-PT
Redskins,21,30,56,0
Lions,19,16,39,0
49ers,19,29,49,0
Bears,18,16,35,0
Vikings,18,16,36,0
Jets,17,12,32,0
Bills,16,39,57,0
Broncos,16,13,31,0
Oilers,16,24,43,0
Giants,16,13,30,0
Chargers,16,13,31,0
Cowboys,15,16,36,0
Saints,15,20,38,0
Chiefs,14,19,33,0
Browns,12,19,34,0
Packers,12,17,30,0
Bengals,11,14,27,0
Rams,11,13,25,0
Seahawks,11,15,29,0
Patriots,9,11,22,0
Buccaneers,9,13,22,0
Raiders,8,20,29,0
Dolphins,8,26,34,0
Eagles,8,17,26,0
Steelers,8,20,32,0
Falcons,6,30,38,0
Cardinals,6,10,17,0
Colts,3,10,14,0
