Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Oilers,667,411,61.6,7.2,4804,24,21,82.3,236,35.4,60,8,68,24,183
Dolphins,563,327,58.1,7.2,4077,26,14,85.7,205,36.4,44,6,54,28,188
49ers,522,325,62.3,8,4167,29,12,96.2,197,37.7,49,13,97,24,170
Rams,518,289,55.8,7,3610,13,20,69.9,180,34.8,44,4,78,30,200
Bills,516,332,64.3,8,4140,39,19,99,208,40.3,51,10,77T,35,269
Packers,514,272,52.9,6.2,3213,17,19,67.8,150,29.2,41,2,75T,45,270
Eagles,513,285,55.6,6.2,3169,17,27,63.2,142,27.7,38,7,75T,45,263
Colts,512,305,59.6,6,3066,10,16,70.2,163,31.8,33,2,49T,57,487
Bengals,511,290,56.8,6.7,3413,14,22,68.4,162,31.7,42,9,53T,33,255
Chargers,511,272,53.2,5.8,2983,13,16,66.2,155,30.3,29,5,58T,35,236
Saints,506,292,57.7,6.8,3419,20,15,79.2,157,31,41,8,65T,19,160
Browns,503,312,62,7,3547,19,10,87.5,164,32.6,43,9,71,42,243
Jets,503,295,58.6,6.8,3429,12,12,77.4,169,33.6,44,4,53T,33,273
Cowboys,500,305,61,7.3,3663,16,12,84.1,191,38.2,47,5,66T,38,273
Falcons,499,260,52.1,7.3,3634,30,22,77.5,162,32.5,51,11,80,31,185
Bears,497,286,57.6,6.6,3292,16,17,74.1,168,33.8,34,5,84T,26,172
Buccaneers,495,250,50.5,6,2955,13,29,53.4,147,29.7,32,2,87T,56,383
Cardinals,492,254,51.6,6.2,3039,10,25,56.4,143,29.1,32,6,62,43,372
Seahawks,488,290,59.4,6.9,3371,15,26,68.4,159,32.6,35,6,60,42,263
Patriots,481,284,59,7.2,3442,11,22,69.7,155,32.2,46,7,60,63,436
Chiefs,479,284,59.3,6.8,3281,19,14,81.1,172,35.9,32,6,63,21,177
Vikings,477,284,59.5,6.3,3016,16,16,75.2,158,33.1,31,6,50,28,133
Steelers,476,259,54.4,7,3313,20,16,76.4,158,33.2,40,8,89,45,359
Broncos,459,246,53.6,7.2,3310,13,12,75.3,150,32.7,50,9,71,46,313
Lions,459,252,54.9,6.5,2974,16,17,71,148,32.2,29,3,73,25,116
Redskins,447,261,58.4,8.4,3771,30,11,98,179,40,52,15,82,9,79
Giants,428,261,61,7.1,3025,13,8,84.7,148,34.6,39,5,55,36,181
Raiders,414,220,53.1,7.2,2977,20,18,74.3,132,31.9,41,10,80,33,249
