Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Cowboys,227,69,15,7,68,16.5,937
Saints,208,79,16,9,109,22.7,997
Bears,213,84,15,6,104,23.2,992
Bengals,206,85,14,9,119,25.8,999
Lions,214,87,13,8,105,23.5,997
Patriots,235,81,16,6,91,22.7,1060
Steelers,209,71,16,7,89,19.8,968
Ravens,235,69,17,5,78,17.4,1026
Cardinals,199,92,8,3,120,25.3,993
Buccaneers,214,68,18,7,89,19.7,962
Panthers,225,78,16,5,83,19.1,996
Vikings,182,70,14,6,94,24.3,955
Giants,225,85,11,5,102,20.6,1060
Colts,188,72,11,6,117,26.8,913
Raiders,215,80,14,8,127,23.4,1036
Jaguars,218,92,14,7,84,19,976
Rams,209,75,21,9,92,22.3,964
49ers,209,85,12,7,99,23.6,976
Redskins,209,84,11,8,122,24.2,1014
Bills,225,86,13,7,92,19.8,1010
Broncos,207,61,25,12,77,20.3,910
Titans,184,51,18,11,79,23.1,926
Packers,228,85,17,4,91,22,1036
Jets,207,84,22,10,134,24.7,1032
Dolphins,222,81,12,2,82,18.6,1014
Seahawks,235,99,18,7,93,20.4,1069
Texans,222,89,14,10,130,24.4,1054
Browns,222,87,13,8,100,21.9,994
Chiefs,213,78,23,10,120,26.5,1054
Chargers,231,97,18,10,124,23.9,1072
Falcons,216,86,14,5,122,24.4,1043
Eagles,221,78,22,8,116,25.2,1058
