Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,448,1536,3.4,6,78,17.4
Broncos,379,1605,4.2,11,77,20.3
Panthers,434,1722,4,10,83,19.1
Cowboys,413,1425,3.4,7,68,16.5
Packers,413,1701,4.1,10,91,22
49ers,420,1690,4,13,99,23.6
Vikings,387,1879,4.9,22,94,24.3
Dolphins,441,1452,3.3,11,82,18.6
Titans,342,1295,3.8,10,79,23.1
Bengals,461,2218,4.8,18,119,25.8
Jaguars,442,1406,3.2,12,84,19
Patriots,401,1434,3.6,10,91,22.7
Colts,437,1980,4.5,19,117,26.8
Seahawks,456,1759,3.9,9,93,20.4
Saints,480,2241,4.7,12,109,22.7
Chiefs,453,2344,5.2,18,120,26.5
Steelers,449,1741,3.9,14,89,19.8
Bears,449,1865,4.2,13,104,23.2
Falcons,499,2308,4.6,21,122,24.4
Bills,464,1606,3.5,11,92,19.8
Raiders,544,2510,4.6,21,127,23.4
Texans,533,2370,4.4,15,130,24.4
Buccaneers,451,1756,3.9,6,89,19.7
Redskins,504,2217,4.4,20,122,24.2
Eagles,461,2071,4.5,13,116,25.2
Chargers,518,2218,4.3,12,124,23.9
Browns,457,2113,4.6,14,100,21.9
Rams,412,1980,4.8,9,92,22.3
Jets,542,2294,4.2,17,134,24.7
Cardinals,475,1915,4,17,120,25.3
Giants,496,1908,3.8,12,102,20.6
Lions,447,1782,4,14,105,23.5
