Team,INT,INT TD,INT Yds,Lng
Patriots,29,5,358,65
Vikings,28,4,693,80
Chiefs,25,3,310,79
Ravens,24,4,511,83
Rams,24,3,505,74
49ers,23,1,389,68T
Dolphins,22,2,338,74T
Packers,21,2,315,90
Titans,21,3,312,60
Buccaneers,20,3,229,44
Redskins,17,0,184,44
Panthers,16,3,238,53
Seahawks,16,0,157,33
Falcons,15,3,197,41
Bears,15,1,191,45T
Browns,15,1,168,75T
Lions,15,1,130,48T
Colts,15,2,244,75
Jaguars,15,0,78,21
Bengals,14,0,123,31
Texans,14,1,205,95
Raiders,14,2,280,83T
Saints,14,2,226,73
Steelers,14,2,215,42
Cowboys,13,2,183,41
Eagles,13,1,158,34T
Cardinals,13,1,271,70T
Chargers,13,1,157,41T
Jets,11,0,155,39
Bills,10,2,114,54
Giants,10,2,199,56
Broncos,9,1,39,16T
