Team,Rsh TD,Rec TD,Tot TD,2-PT
Panthers,26,21,48,0
Eagles,20,22,43,0
Texans,18,20,41,0
Vikings,18,20,39,0
Patriots,18,39,60,2
Giants,17,29,46,4
Raiders,16,20,37,0
Saints,16,46,64,0
Chargers,16,27,45,0
Ravens,15,21,38,1
Seahawks,15,15,35,0
Falcons,14,29,45,0
Jets,14,26,45,0
Niners,14,18,35,0
Steelers,13,21,35,0
Bills,12,24,41,1
Packers,12,51,69,0
Cardinals,12,21,37,0
Broncos,11,20,36,3
Dolphins,11,20,33,0
Bears,10,18,36,1
Bengals,10,21,33,0
Lions,9,41,55,0
Jaguars,9,12,22,0
Buccaneers,9,17,29,0
Titans,8,22,34,0
Colts,8,14,24,0
Redskins,8,19,28,0
Rams,7,9,18,0
Cowboys,5,33,39,0
Chiefs,5,13,20,0
Browns,4,16,21,0
