Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Jaguars,241,81,17,6,122,50.8,103,21.1,1002
Browns,238,92,18,10,173,54.1,77,18.6,1024
Ravens,229,97,7,4,181,57.6,98,21.4,1036
Rams,228,64,23,8,159,54.4,79,19.3,1013
Seahawks,228,77,15,7,153,51.2,89,20,1003
Chiefs,225,81,17,7,163,54.5,89,18.3,1021
Falcons,224,99,13,4,215,58.9,100,22.1,1073
Texans,224,93,11,3,176,61.1,130,23.8,1046
Niners,221,65,14,9,150,54.2,101,20.3,993
Bengals,219,80,10,4,160,52,93,20.4,1015
Redskins,219,81,13,4,204,59,79,19.8,1032
Titans,218,80,14,10,185,52.4,71,18.9,984
Vikings,216,83,18,7,159,55.6,118,26.3,1007
Broncos,214,66,13,3,130,59.9,129,23.6,1017
Colts,214,74,11,4,170,56.3,69,18.1,951
Jets,213,74,11,4,173,55.8,90,20.3,1030
Lions,212,76,14,8,244,57.7,71,19.9,1058
Chargers,211,103,11,4,234,63.9,97,22.2,1048
Saints,208,118,10,3,280,59.3,116,26.9,1117
Dolphins,207,69,16,6,166,59.3,89,19,990
Giants,206,77,13,4,216,60.2,84,20.4,1028
Buccaneers,206,76,21,8,180,49.3,74,21.4,966
Eagles,205,85,15,7,197,59.7,134,29.8,1036
Cardinals,205,66,15,9,175,57,83,21.3,993
Bears,203,66,8,2,153,57.1,96,21,978
Raiders,199,71,13,7,186,59,110,23.6,1015
Cowboys,198,78,10,5,219,58.2,91,22.3,1017
Steelers,196,90,8,3,221,64.8,96,22.1,1015
Patriots,194,89,11,7,262,65.2,107,24.4,1082
Bills,191,62,22,9,180,50.6,99,25.3,992
Packers,189,91,8,4,230,61.2,89,22.5,988
Panthers,185,75,10,6,175,56.1,139,31.2,999
