Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Patriots,545,298,54.7,6.3,3447,21,22,173,31.7,39
Vikings,597,368,61.6,6.1,3652,25,18,195,32.7,36
Falcons,580,364,62.8,7.1,4136,26,22,201,34.7,32
Dolphins,577,334,57.9,6.6,3794,23,23,195,33.8,29
Broncos,568,322,56.7,7.3,4155,28,12,182,32,23
Chiefs,504,300,59.5,6.5,3266,23,12,164,32.5,39
Packers,605,337,55.7,5.6,3401,20,21,182,30.1,37
Saints,559,353,63.2,6.8,3811,28,17,208,37.2,36
Eagles,490,251,51.2,6.3,3094,20,21,151,30.8,42
Oilers,400,221,55.2,7,2795,18,14,132,33,31
Redskins,496,300,60.5,7.3,3634,22,17,182,36.7,28
Bills,535,314,58.7,6.8,3660,26,16,199,37.2,25
Bengals,505,294,58.2,6.4,3248,22,10,168,33.3,31
Jets,522,333,63.8,6.8,3529,19,17,189,36.2,29
Cardinals,465,234,50.3,6.5,3038,19,23,144,31,35
Chargers,577,363,62.9,6.3,3658,20,17,191,33.1,43
Rams,541,320,59.2,6.3,3389,23,14,198,36.6,26
49ers,583,329,56.4,6,3501,15,23,182,31.2,38
Browns,587,325,55.4,5.4,3157,13,18,173,29.5,38
Bears,522,295,56.5,5.9,3087,16,12,163,31.2,28
Seahawks,537,313,58.3,6.3,3397,15,19,178,33.2,29
Buccaneers,498,303,60.8,6.8,3372,25,9,179,35.9,20
Raiders,564,306,54.3,6,3400,24,12,176,31.2,38
Steelers,532,280,52.6,5.4,2874,12,17,156,29.3,55
Lions,547,370,67.6,6.5,3546,21,12,169,30.9,28
Cowboys,522,269,51.5,5.3,2752,19,22,157,30.1,47
Giants,500,289,57.8,6.4,3222,16,16,166,33.2,26
Colts,598,354,59.2,6.2,3679,24,18,192,32.1,29
