Team,INT,INT TD,INT Yds,Lng
Dolphins,23,1,276,58T
Cardinals,23,1,297,46T
49ers,23,4,508,93
Falcons,22,2,322,74
Cowboys,22,3,297,94
Patriots,22,1,209,24T
Packers,21,1,232,51
Eagles,21,2,209,55
Seahawks,19,2,284,69
Browns,18,1,223,93T
Colts,18,3,360,90T
Vikings,18,4,338,81
Saints,17,1,197,56T
Jets,17,3,355,90
Steelers,17,2,240,42T
Chargers,17,3,402,99
Redskins,17,3,326,92
Bills,16,0,175,45
Giants,16,0,128,36
Oilers,14,1,242,41
Rams,14,1,211,51
Bears,12,0,127,33
Broncos,12,0,55,24
Lions,12,2,144,48
Chiefs,12,1,218,78T
Raiders,12,3,187,35T
Bengals,10,0,167,49
Buccaneers,9,0,77,38
