Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Cowboys,630,2711,4.3,15,11,3,75,265,42.1,22
Chiefs,610,2633,4.3,22,19,1,82T,307,50.3,21
Bears,608,2171,3.6,13,5,0,39,242,39.8,15
Lions,596,2795,4.7,26,16,2,51T,333,55.9,23
Jets,571,2341,4.1,11,6,1,43,227,39.8,19
49ers,560,1941,3.5,17,5,0,28T,221,39.5,9
Rams,559,2236,4,17,5,2,69T,284,50.8,20
Eagles,559,2509,4.5,17,11,2,41,313,56,17
Steelers,554,2372,4.3,21,8,1,50T,275,49.6,25
Saints,546,2286,4.2,16,12,4,79T,240,44,22
Dolphins,535,2173,4.1,18,15,1,46T,236,44.1,14
Redskins,532,2157,4,19,8,0,32,272,51.1,15
Bills,524,2125,4.1,13,7,0,35,253,48.3,19
Cardinals,519,2213,4.3,20,11,2,44,270,52,13
Broncos,515,1895,3.7,12,4,0,37,182,35.3,13
Patriots,499,2040,4.1,23,6,1,43,248,49.7,15
Falcons,495,1965,4,15,9,0,35T,232,46.9,14
Bengals,493,1973,4,19,6,0,39T,240,48.7,7
Raiders,493,2058,4.2,11,7,2,60,216,43.8,15
Giants,481,1685,3.5,11,9,0,35,185,38.5,16
Chargers,481,2005,4.2,26,7,1,73,245,50.9,15
Packers,478,1670,3.5,11,6,0,34,208,43.5,15
Browns,474,1929,4.1,11,4,0,26,261,55.1,14
Oilers,466,1734,3.7,11,8,1,43,206,44.2,22
Buccaneers,458,1731,3.8,13,11,1,59,192,41.9,8
Colts,441,1850,4.2,11,14,4,67T,184,41.7,11
Seahawks,440,1594,3.6,14,9,1,43,204,46.4,23
Vikings,391,1512,3.9,8,7,0,38,182,46.6,14
