Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,15,16,32,0
49ers,13,11,24,0
Ravens,11,8,19,1
Colts,11,8,19,2
Lions,10,11,22,0
Jaguars,9,8,19,1
Eagles,9,9,19,1
Bills,8,15,24,1
Rams,8,7,15,1
Browns,7,4,11,3
Cardinals,6,6,12,1
Chargers,6,11,17,1
Seahawks,6,7,15,1
Commanders,6,9,16,2
Falcons,5,6,11,1
Bears,5,12,18,1
Cowboys,5,6,14,2
Titans,5,3,8,0
Packers,4,10,15,2
Chiefs,4,15,19,0
Patriots,4,7,11,0
Saints,4,6,12,1
Raiders,3,8,11,1
Giants,3,4,8,0
Jets,3,4,8,2
Steelers,3,5,9,0
Panthers,2,8,12,1
Bengals,1,7,10,0
Broncos,1,13,15,2
Texans,1,10,12,0
Buccaneers,1,8,10,1
Vikings,0,16,16,0
