Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Packers,630,350,55.6,6.3,3947,18,18,72.1,185,29.4,49,8,82T,24,152
Lions,596,372,62.4,7.1,4208,21,22,79.9,208,34.9,59,3,60T,63,388
Rams,592,371,62.7,7.3,4328,24,8,92.6,212,35.8,61,10,67T,49,366
Dolphins,591,342,57.9,6,3577,16,19,71.2,180,30.5,37,6,52,41,290
Saints,580,372,64.1,8,4626,27,13,94.9,207,35.7,65,20,86,23,123
Colts,557,362,65,7.9,4397,31,9,101,241,43.3,53,7,68,15,89
Cardinals,545,322,59.1,7.2,3924,17,17,78.7,187,34.3,50,11,64,35,262
Eagles,544,323,59.4,7.9,4309,31,9,96.7,189,34.7,63,19,89,28,190
Vikings,540,332,61.5,6.3,3402,13,20,72.2,160,29.6,44,6,50,43,279
Panthers,539,325,60.3,6.5,3486,19,17,77.9,158,29.3,37,7,72T,32,222
Buccaneers,535,296,55.3,5.6,2994,14,18,66.2,133,24.9,30,7,64T,33,196
Patriots,527,326,61.9,6.8,3590,25,12,88.3,181,34.4,47,8,62T,29,190
Ravens,524,328,62.6,6.8,3535,21,14,84.6,179,34.2,38,6,87,17,100
Bengals,523,327,62.5,7.8,4066,28,13,94.1,200,38.2,53,15,74T,36,233
Giants,523,301,57.6,6.2,3244,24,18,76.8,163,31.2,33,8,55T,25,186
Steelers,523,312,59.7,7.7,4026,23,23,80.2,201,38.4,49,10,87,49,293
Bears,514,282,54.9,6.7,3446,24,22,73.5,161,31.3,50,9,75,25,165
Browns,512,318,62.1,6.3,3247,15,25,69.7,153,29.9,32,8,75,54,349
Seahawks,512,292,57,6.6,3369,26,22,76,167,32.6,41,7,72,49,315
Cowboys,506,310,61.3,8,4067,26,21,86.5,197,38.9,56,12,56T,37,231
Jets,488,313,64.1,6.9,3352,17,16,82.1,161,33,38,9,71,34,199
Raiders,483,263,54.4,5.9,2850,7,24,56.2,144,29.8,28,2,57T,72,430
Texans,481,329,68.4,6.3,3032,14,13,83.8,156,32.4,29,3,53T,43,254
Redskins,470,274,58.3,6.8,3174,19,10,83.4,150,31.9,39,10,74,19,147
Chargers,466,287,61.6,7.3,3412,24,9,93,169,36.3,41,5,57,28,150
Broncos,454,256,56.4,6.6,2995,20,18,74.7,151,33.3,34,6,83,31,196
Chiefs,450,272,60.4,7.2,3243,18,12,84.7,184,40.9,36,5,78,41,243
Titans,447,226,50.6,6.2,2748,13,19,61.8,133,29.8,42,1,53,29,152
Jaguars,446,266,59.6,6.9,3060,17,14,80,147,33,39,5,51T,30,178
49ers,444,257,57.9,6.5,2890,16,16,74.4,132,29.7,34,8,75T,35,202
Bills,431,268,62.2,7.1,3051,19,14,84.6,132,30.6,35,10,83,47,332
Falcons,416,222,53.4,6.4,2682,21,15,75.2,133,32,33,9,55,47,311
