Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Lions,372,4208,11.3,21,59,3,60,208,55.9,5
Saints,372,4626,12.4,27,65,20,86,207,55.6,4
Rams,371,4328,11.7,24,61,10,67,212,57.1,5
Colts,362,4397,12.2,31,53,7,68,241,66.6,4
Packers,350,3947,11.3,18,49,7,82,185,52.9,7
Dolphins,342,3577,10.5,16,36,6,52,180,52.6,2
Vikings,332,3402,10.2,13,44,6,50,160,48.2,7
Texans,329,3032,9.2,14,29,3,53T,156,47.4,5
Ravens,328,3535,10.8,21,38,6,87,179,54.6,4
Bengals,327,4066,12.4,28,53,15,74,200,61.2,1
Patriots,326,3590,11,25,47,8,62,181,55.5,6
Panthers,325,3486,10.7,19,37,7,72,158,48.6,2
Eagles,323,4309,13.3,31,63,19,89,189,58.5,5
Cardinals,322,3924,12.2,17,50,11,64T,187,58.1,3
Browns,318,3247,10.2,15,32,8,75,153,48.1,2
Jets,313,3352,10.7,17,37,9,71,161,51.4,4
Steelers,312,4026,12.9,23,49,10,87,201,64.4,4
Cowboys,310,4067,13.1,26,56,12,56,197,63.6,1
Giants,301,3244,10.8,24,33,8,55T,163,54.2,4
Buccaneers,296,2994,10.1,14,30,7,64,133,44.9,5
Seahawks,292,3369,11.5,26,41,7,72,167,57.2,5
Chargers,287,3412,11.9,24,41,5,57,169,58.9,2
Bears,282,3446,12.2,24,50,9,75T,161,57.1,5
Redskins,274,3174,11.6,19,39,10,74,150,54.7,6
Chiefs,272,3243,11.9,18,36,5,78,184,67.6,2
Bills,268,3051,11.4,19,35,10,83,132,49.2,3
Jaguars,266,3060,11.5,17,39,5,51T,147,55.3,3
Raiders,263,2850,10.8,7,28,2,57,144,54.8,7
49ers,257,2890,11.2,16,34,8,75,131,51,3
Broncos,256,2995,11.7,20,34,6,83,151,59,5
Titans,226,2748,12.2,13,42,1,53,133,58.8,4
Falcons,222,2682,12.1,21,33,9,55,133,59.9,3
