Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Cardinals,11.7,45,528,2,5,3,71T,16,2
Seahawks,11.7,39,457,1,4,2,75T,14,4
Broncos,11.5,48,552,2,5,2,70,8,4
Redskins,10.8,51,550,0,5,1,44,20,3
Lions,9.8,43,420,1,4,1,81T,9,2
Packers,9.6,33,316,1,4,2,83T,7,1
Patriots,9.4,42,396,1,4,2,59T,12,5
49ers,9.2,43,397,1,4,1,76T,19,4
Chargers,9,37,334,0,3,0,30,16,3
Jets,8.7,39,341,0,4,0,28,9,3
Raiders,8.6,56,484,1,3,1,70T,16,3
Steelers,8.6,36,310,0,2,2,41,13,2
Rams,8.6,42,361,0,3,0,32,22,2
Browns,8.5,41,350,1,2,1,84T,10,3
Eagles,8.5,44,374,1,2,2,76T,16,5
Bears,8.5,57,482,0,4,0,35,9,5
Bengals,8.1,29,235,0,1,0,25,17,2
Saints,8,47,377,0,3,0,39,15,5
Oilers,7.9,43,341,0,2,0,25,15,3
Bills,7.7,32,247,1,2,1,49T,13,7
Chiefs,7.6,35,265,0,1,1,48,18,3
Dolphins,7.4,40,297,1,2,1,71T,11,9
Colts,7.1,35,250,0,1,0,25,13,5
Giants,7,41,287,0,2,0,22,20,4
Vikings,6.9,31,215,0,0,0,15,17,3
Falcons,6.6,44,292,0,1,0,30,12,4
Cowboys,5.5,46,252,0,2,0,28,17,7
Buccaneers,4.2,26,110,0,0,0,12,5,2
