Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Dontae Johnson,25,1,25,0,1,0,25,0,0
Will Blackmon,16,1,16,0,0,0,16,1,0
Tyreek Hill,15.2,39,592,2,8,3,95,8,3
Will Fuller,15,11,165,1,2,1,67,6,2
Marcus Sherels,13.9,21,292,2,5,2,79,17,1
Randall Cobb,13.5,4,54,0,2,0,23,4,1
Darren Sproles,13.2,17,224,0,2,2,66,13,1
Trevor Davis,12.8,9,115,0,2,1,55,11,2
Michael Campanaro,12.6,5,63,0,0,0,17,3,0
Andre Roberts,12.3,20,246,2,3,2,85,16,2
Jamison Crowder,12.2,27,328,1,4,2,85,15,0
Brandon Tate,11.6,26,301,0,8,1,43,14,0
Tommylee Lewis,11.4,14,160,0,3,1,59,8,2
Eric Weems,11.4,24,273,0,2,2,73,21,0
Kenjon Barner,11,2,22,0,1,0,22,0,0
T.J. Carrie,10.6,7,74,0,0,0,18,8,0
Jarvis Landry,10.2,16,163,0,1,0,20,15,1
Kalif Raymond,10.1,11,111,0,3,0,25,9,1
Jeremy Ross,10,1,10,0,0,0,10,10,0
Adam Humphries,9.9,24,237,0,2,0,25,22,3
Tyler Ervin,9.7,27,261,0,1,1,57,23,1
Marcus Murphy,9.5,6,57,0,1,0,22,0,0
Antonio Brown,9.3,15,140,0,2,0,33,15,0
Chester Rogers,9.2,13,119,0,2,0,30,12,1
Julian Edelman,9,15,135,0,1,0,23,7,1
Joe Haden,9,2,18,0,0,0,13,2,0
Cordarrelle Patterson,9,1,9,0,0,0,9,1,1
Jalen Richard,9,34,306,0,3,1,47,5,0
Eddie Royal,8.7,19,166,1,2,1,65,15,1
Cre'von LeBlanc,8.6,5,43,0,0,0,13,3,0
Mario Alford,8.5,8,68,0,0,0,17,3,0
Tyler Lockett,8.4,29,243,0,3,1,62,22,0
Quan Bray,8.3,7,58,0,1,0,20,8,0
Tavon Austin,8.3,44,364,0,4,1,47,16,3
Jakeem Grant,8.2,20,165,1,1,1,74,3,4
Jordan Norwood,8.2,25,204,0,0,0,17,15,4
Marc Mariani,8.1,29,235,0,0,0,18,22,2
Lucky Whitehead,7.8,25,195,0,2,0,39,6,1
Jeremy Kerley,7.5,21,158,0,3,0,26,36,3
Stefon Diggs,7.5,6,45,0,0,0,19,1,0
Devin Hester,7.2,25,180,0,2,0,28,15,4
Dexter McCluster,7.1,8,57,0,0,0,16,3,0
John Brown,7,17,119,0,1,0,32,11,1
Patrick Chung,7,1,7,0,0,0,7,1,0
Ted Ginn,7,29,202,0,0,0,19,24,2
Alex Erickson,7,28,195,0,1,0,24,19,3
Danny Amendola,6.7,18,121,0,1,0,30,7,2
Odell Beckham Jr.,6.6,10,66,0,0,0,19,6,1
Duke Johnson,6.6,17,112,0,0,0,18,1,0
Travis Benjamin,6.6,9,59,0,0,0,18,0,2
Reggie Bush,6.5,2,13,0,0,0,13,2,0
Nick Marshall,6.5,6,39,0,1,0,27,6,0
Bobby Rainey,6.5,6,39,0,0,0,15,1,1
Eli Rogers,6.4,7,45,0,0,0,15,4,2
Isaiah Burse,6.4,15,96,0,2,0,21,9,0
Rashad Greene,6.2,21,131,0,1,1,42,5,4
Patrick Peterson,6.2,13,81,0,0,0,17,12,1
Richard Sherman,6,1,6,0,0,0,6,6,0
Dwayne Harris,5.9,29,170,0,0,0,17,10,3
Micah Hyde,5.8,11,64,0,0,0,19,6,1
Vernon Hargreaves III,5.8,5,29,0,0,0,12,0,0
Jalin Marshall,5.6,18,100,0,0,0,19,13,2
Adam Jones,5.1,10,51,0,0,0,15,0,3
Bryan Walters,5.1,17,86,0,0,0,14,16,1
T.Y. Hilton,5,1,5,0,0,0,5,1,0
Brittan Golden,4.3,7,30,0,0,0,8,0,0
Cyrus Jones,4.2,11,46,0,0,0,13,3,4
Bryce Callahan,3,1,3,0,0,0,3,8,0
Jairus Byrd,2,1,2,0,0,0,2,9,0
Brandin Cooks,2,1,2,0,0,0,2,0,0
Damarious Randall,2,1,2,0,0,0,2,0,0
Bralon Addison,1.5,2,3,0,0,0,3,1,1
Marqise Lee,1.5,2,3,0,0,0,3,3,1
Lardarius Webb,1.5,2,3,0,0,0,3,3,0
Adam Thielen,1.3,6,8,0,0,0,9,3,1
Cole Beasley,1,3,3,0,0,0,3,9,0
Valentino Blake,1,1,1,0,0,0,1,0,0
Pharoh Cooper,1,5,5,0,0,0,6,3,0
Braxton Miller,1,1,1,0,0,0,1,0,0
Jordan Poyer,1,2,2,0,0,0,2,3,0
Aqib Talib,1,1,1,0,0,0,1,0,0
D.J. Alexander,0,1,0,0,0,0,0,0,0
Aaron Burbridge,0,1,0,0,0,0,0,0,1
Quinton Dunbar,0,1,0,0,0,0,0,0,1
Marwin Evans,0,1,0,0,0,0,0,0,0
Josh Ferguson,0,1,0,0,0,0,0,0,1
De'Vante Harris,0,1,0,0,0,0,0,0,1
Chandler Jones,0,1,0,0,0,0,0,0,0
Darryl Roberts,0,1,0,0,0,0,0,0,1
Buster Skrine,0,1,0,0,0,0,0,0,1
Tramon Williams,0,1,0,0,0,0,0,4,1
