Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Justin Tucker,38,39,97.4,0/0,4/4,10/11,14/14,10/10,0/0,57,1
Nick Novak,35,41,85.4,1/1,12/12,11/11,8/11,3/6,0/0,53,0
Caleb Sturgis,35,41,85.4,0/0,12/12,12/12,7/11,4/6,0/0,55,1
Matt Bryant,34,37,91.9,0/0,12/12,7/8,9/9,6/8,0/0,59,1
Dustin Hopkins,34,42,81,0/0,12/12,12/14,7/9,3/7,0/0,53,0
Steven Hauschka,33,37,89.2,0/0,11/13,13/13,8/10,1/1,0/0,53,1
Matt Prater,31,36,86.1,0/0,10/10,4/5,10/14,7/7,0/0,58,0
Cairo Santos,31,35,88.6,0/0,8/9,15/17,6/7,2/2,0/0,54,0
Graham Gano,30,38,79,0/0,4/4,9/11,14/17,3/6,0/0,54,0
Sebastian Janikowski,29,35,82.9,1/1,9/9,6/6,10/11,3/8,0/0,56,0
Brandon McManus,29,34,85.3,0/0,9/9,10/10,7/9,3/5,0/1,55,0
Wil Lutz,28,34,82.4,1/1,7/7,9/11,8/8,3/6,0/1,57,2
Dan Bailey,27,32,84.4,0/0,9/9,8/8,7/9,3/6,0/0,56,0
Nick Folk,27,31,87.1,0/0,12/13,10/11,3/3,2/4,0/0,51,3
Stephen Gostkowski,27,32,84.4,0/0,9/9,7/9,9/10,2/4,0/0,53,0
Jason Myers,27,34,79.4,0/0,7/7,3/4,10/11,7/11,0/1,56,2
Adam Vinatieri,27,31,87.1,0/0,3/3,7/7,10/12,7/9,0/0,54,0
Mason Crosby,26,30,86.7,1/1,6/6,13/15,5/6,1/2,0/0,53,1
Josh Lambo,26,32,81.2,0/0,7/7,13/14,6/8,0/3,0/0,47,1
Mike Nugent,23,29,79.3,0/0,9/9,9/10,5/7,0/3,0/0,47,0
Roberto Aguayo,22,31,71,0/0,5/5,13/15,4/10,0/1,0/0,43,1
Ryan Succop,22,24,91.7,1/1,4/4,6/6,8/8,3/5,0/0,53,0
Chris Boswell,21,25,84,0/0,2/2,8/9,11/12,0/2,0/0,49,1
Chandler Catanzaro,21,28,75,1/1,5/6,6/7,6/8,2/5,1/1,60,1
Cody Parkey,20,25,80,0/0,6/6,6/6,7/12,1/1,0/0,51,0
Dan Carpenter,19,25,76,1/1,8/8,5/5,4/9,1/2,0/0,54,0
Greg Zuerlein,19,22,86.4,0/0,5/5,9/9,3/4,2/4,0/0,54,0
Connor Barth,18,23,78.3,0/0,7/8,7/8,3/4,1/3,0/0,54,1
Phil Dawson,18,21,85.7,0/0,4/4,6/6,7/9,1/2,0/0,53,0
Andrew Franks,16,21,76.2,0/0,8/10,6/6,1/3,1/2,0/0,55,2
Kai Forbath,15,15,100,0/0,5/5,5/5,4/4,1/1,0/0,51,0
Blair Walsh,12,16,75,1/1,1/1,5/6,4/6,1/2,0/0,50,1
Josh Brown,11,12,91.7,1/1,3/3,3/3,4/4,0/1,0/0,48,0
Robbie Gould,10,10,100,0/0,3/3,3/3,4/4,0/0,0/0,47,0
Randy Bullock,8,9,88.9,0/0,4/4,2/2,2/3,0/0,0/0,44,0
Patrick Murray,1,2,50,0/0,0/0,1/1,0/0,0/1,0/0,35,0
