Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Patrick McAfee,49.3,43.5,2392,56,74,2711,19,7,5,9,17,17,139,0,1
Andy Lee,49.1,40.4,1453,36,76,1769,18,1,7,4,7,17,236,1,0
Marquette King,48.6,41.4,3352,81,72,3937,34,11,13,9,15,33,405,1,0
Sam Martin,48.6,44.2,2740,62,63,3010,23,3,7,3,14,35,210,0,0
Thomas Morstead,48.3,42.4,2414,57,66,2751,22,8,8,5,7,29,237,0,0
Johnny Hekker,47.8,46,4508,98,78,4680,51,11,11,1,40,35,152,0,0
Shane Lechler,47.5,40.1,2886,72,62,3423,30,5,3,3,13,48,477,1,0
Matt Bosher,46.8,41.6,1831,44,68,2060,21,1,5,1,16,21,209,0,0
Brad Nortman,46.6,39.5,3040,77,78,3589,27,5,14,8,19,31,389,1,0
Kevin Huber,46.3,39.5,3084,78,72,3613,23,4,8,8,20,38,369,0,0
Drew Kaser,46.3,39.8,2349,59,69,2731,18,5,6,5,10,33,282,1,0
Brad Wing,46.2,40.9,3807,93,63,4297,28,12,20,8,16,37,330,0,0
Matt Wile,46.1,43,516,13,59,553,2,0,2,0,3,7,37,0,1
Bryan Anger,45.9,42.7,2987,70,59,3215,37,3,9,5,29,24,128,0,0
Chris Jones,45.9,41.2,2389,59,66,2661,25,10,5,4,17,22,192,0,1
Donnie Jones,45.8,40.7,2566,63,72,2888,21,6,11,6,15,25,202,1,0
Sam Koch,45.8,39.9,3190,80,68,3665,37,18,10,5,14,33,375,1,0
Riley Dixon,45.7,41.3,3677,89,68,4068,28,6,12,6,25,40,271,0,0
Jordan Berry,45.6,40.8,2771,69,64,3100,25,11,9,3,17,28,269,0,1
Britton Colquitt,45.3,40.3,3345,83,65,3761,22,4,9,2,23,45,376,0,0
Dustin Colquitt,45.1,40.7,3090,76,64,3427,38,4,6,9,27,30,157,0,0
Tress Way,45.1,38.9,1907,49,61,2209,15,7,4,4,7,27,222,0,0
Graham Gano,45,29.8,119,4,54,180,0,0,0,2,0,2,21,0,0
Ryan Allen,44.7,41.4,2983,72,57,3217,23,7,14,5,19,27,134,0,0
Matt Darr,44.3,39.9,3591,90,66,3991,32,7,15,5,26,37,300,0,0
Brett Kern,44.2,38.6,2975,77,71,3402,32,4,6,4,27,36,347,2,0
Pat O'Donnell,44,38.4,2612,68,67,2994,24,5,5,5,31,22,282,1,0
Jon Ryan,44,39.9,2830,72,64,3126,26,7,11,3,22,28,236,0,1
Bradley Pinion,44,39.8,3977,100,65,4402,28,4,11,4,41,40,345,0,0
Jacob Schum,43.2,39.1,2189,56,65,2420,19,11,7,4,18,16,151,0,0
Lachlan Edwards,43.2,37.8,2837,76,59,3236,24,6,8,4,22,35,319,0,1
Jeff Locke,42.6,39,2886,74,72,3155,34,3,14,3,28,26,209,0,0
Michael Palardy,42.5,37.9,1365,36,56,1531,13,0,7,2,6,21,126,0,0
Colton Schmidt,42.4,38.2,2861,75,58,3183,20,18,7,3,8,39,262,0,0
Drew Butler,42.2,35.6,1140,32,62,1350,10,2,2,0,8,20,210,0,0
Ryan Quigley,41.6,38.3,1301,35,55,1416,13,1,5,2,18,8,75,0,1
Matt Bryant,33.5,33.5,67,2,36,67,0,0,0,0,2,0,0,0,0
Chandler Catanzaro,33,33,66,2,47,66,0,1,1,0,0,0,0,0,0
