Team,Rsh TD,Rec TD,Tot TD,2-PT
Chiefs,26,27,56,1
Vikings,26,19,46,1
Dolphins,24,18,43,0
Falcons,23,18,43,0
Broncos,21,21,44,0
Raiders,21,26,53,0
Jaguars,19,18,38,1
Chargers,19,17,37,0
Bills,17,24,43,0
Seahawks,17,19,40,1
Titans,16,22,41,2
Saints,16,27,47,2
49ers,16,23,41,1
Eagles,15,27,45,1
Steelers,15,26,43,0
Giants,14,19,34,0
Bengals,13,17,33,0
Packers,12,29,45,0
Colts,12,27,40,1
Jets,12,25,41,1
Panthers,11,15,29,1
Rams,11,24,36,0
Browns,10,27,40,1
Cardinals,10,18,31,0
Redskins,10,24,36,0
Ravens,9,20,36,1
Lions,9,19,32,0
Patriots,9,28,42,1
Bears,8,22,30,0
Cowboys,7,14,26,0
Texans,6,11,21,0
Buccaneers,6,23,34,0
