Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Raiders,643,2573,4,28,0,0,66T,159,24.7,0
Dolphins,594,2500,4.2,26,0,0,56,136,22.9,0
Bills,588,2974,5.1,26,0,0,88T,162,27.6,0
Rams,585,2371,4,18,0,0,43,134,22.9,0
Steelers,581,2633,4.5,22,0,0,36,149,25.6,0
Cowboys,571,2432,4.3,17,0,0,32,132,23.1,0
Vikings,556,2094,3.8,18,0,0,31,142,25.5,0
Cardinals,555,2402,4.3,19,0,0,57,131,23.6,0
Colts,536,2217,4.1,28,0,0,70,131,24.4,0
Lions,532,2147,4,10,0,0,46,111,20.9,0
Oilers,526,2068,3.9,14,0,0,46T,121,23,0
Jets,501,2079,4.2,15,0,0,42,126,25.2,0
Bengals,499,1819,3.6,20,0,0,29,107,21.4,0
Broncos,490,1993,4.1,9,0,0,34,109,22.2,0
Chiefs,487,1847,3.8,14,0,0,65,110,22.6,0
Giants,482,1627,3.4,17,0,0,46T,95,19.7,0
Patriots,472,1845,3.9,14,0,0,66,94,19.9,0
Falcons,465,1794,3.9,12,0,0,26T,87,18.7,0
Saints,463,1642,3.6,9,0,0,22,109,23.5,0
Eagles,461,1702,3.7,3,0,0,51,84,18.2,0
Redskins,444,1752,4,9,0,0,43,97,21.8,0
Bears,441,1653,3.8,11,0,0,54,74,16.8,0
Browns,440,1850,4.2,14,0,0,50,109,24.8,0
Chargers,434,1801,4.2,14,0,0,48T,98,22.6,0
Packers,431,1547,3.6,14,0,0,29T,84,19.5,0
49ers,422,1598,3.8,12,0,0,52T,86,20.4,0
