Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,608,387,63.6,6.6,4017,23,19,82.2,181,29.8,48,5,51T,61,422
Chiefs,605,406,67.1,7,4229,28,16,91.5,210,34.7,50,8,67T,27,186
Browns,598,342,57.2,6.4,3845,22,21,74.2,165,27.6,51,15,75T,42,292
Bengals,587,399,68,7,4081,24,13,92.1,198,33.7,44,10,80,47,331
Vikings,587,394,67.1,7.3,4304,28,17,92.4,205,34.9,65,6,62T,43,304
Chargers,585,381,65.1,6.9,4054,24,8,93.2,192,32.8,53,7,79,40,332
Jets,581,348,59.9,5.7,3303,11,15,71.2,153,26.3,36,3,68T,63,453
Saints,578,384,66.4,6.8,3961,24,11,91.9,186,32.2,47,11,58T,32,217
Jaguars,577,383,66.4,7.1,4097,20,12,89.9,187,32.4,50,9,65T,41,251
Cowboys,574,394,68.6,7.6,4351,32,9,102.9,206,35.9,62,7,92T,40,263
Lions,574,385,67.1,7.5,4286,28,12,96.6,215,37.5,65,7,63,30,196
Panthers,568,339,59.7,5.6,3151,13,10,75.2,148,26.1,30,4,48T,62,478
Texans,566,352,62.2,7.6,4314,25,8,94.5,205,36.2,65,9,75,45,387
Rams,559,344,61.5,7.4,4137,24,12,89.6,195,34.9,63,8,80,32,223
Colts,550,342,62.2,6.8,3741,18,10,85.6,172,31.3,43,11,75,40,208
Packers,549,347,63.2,7.1,3894,30,11,94.2,197,35.9,53,6,77,29,234
Seahawks,547,355,64.9,7.3,3978,21,12,90.1,181,33.1,53,6,73T,38,257
Bills,541,355,65.6,7.3,3947,27,16,91.5,185,34.2,44,8,81T,21,138
Dolphins,539,376,69.8,8.4,4525,29,13,103.1,214,39.7,57,12,78,30,178
Buccaneers,536,344,64.2,7.3,3907,28,10,95.6,182,34,59,12,75T,37,210
Patriots,527,339,64.3,6.3,3304,16,19,76.9,150,28.5,33,4,58T,40,266
Eagles,527,349,66.2,7.3,3864,23,14,91.3,188,35.7,49,7,63T,34,196
Raiders,525,328,62.5,6.5,3422,18,18,78.4,170,32.4,32,4,50T,37,272
Cardinals,525,333,63.4,6,3168,17,12,81.4,162,30.9,33,3,69T,41,284
Bears,497,310,62.4,6.6,3273,19,15,81.7,161,32.4,46,5,58,45,294
Falcons,496,302,60.9,7,3457,15,15,79.3,170,34.3,43,8,75T,39,244
Steelers,486,305,62.8,6.7,3269,12,9,82.9,145,29.8,40,8,86,33,240
Giants,484,313,64.7,6.3,3040,14,11,82.3,128,26.4,40,6,80T,83,460
Broncos,479,317,66.2,6.9,3294,27,8,97.7,142,29.6,38,12,60,47,270
Titans,467,287,61.5,7.2,3344,12,10,82.8,148,31.7,52,10,70,62,429
Ravens,466,313,67.2,8,3735,26,7,103.8,171,36.7,51,9,80T,37,218
49ers,465,320,68.8,9.4,4388,32,12,110.9,197,42.4,73,14,76T,31,179
