Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,516,2555,5,26,20,4,60,140,27.1,5
Bears,509,2324,4.6,16,13,0,39T,133,26.1,5
Falcons,497,2081,4.2,14,11,0,38,118,23.7,12
Browns,494,1913,3.9,15,8,3,69,116,23.5,9
Eagles,486,2057,4.2,22,10,1,43,140,28.8,9
Lions,477,2241,4.7,25,15,3,75,119,25,7
Bills,476,2084,4.4,22,9,1,42,147,30.9,9
49ers,470,2264,4.8,25,11,3,72,138,29.4,4
Steelers,448,1855,4.1,15,13,1,74T,107,23.9,7
Saints,445,1588,3.6,11,3,0,29,100,22.5,5
Colts,442,1832,4.1,18,12,3,56T,102,23.1,4
Rams,441,1936,4.4,17,11,1,56T,103,23.4,2
Cowboys,439,1789,4.1,13,11,1,46,107,24.4,4
Dolphins,436,2200,5,26,16,8,76T,108,24.8,13
Cardinals,433,2159,5,16,19,5,49,114,26.3,9
Broncos,431,1762,4.1,7,9,0,38,111,25.8,4
Jaguars,430,1564,3.6,17,9,1,62T,93,21.6,5
Giants,424,1765,4.2,8,12,0,36,88,20.8,7
Titans,418,1671,4,14,8,1,63,95,22.7,5
Panthers,416,1638,3.9,7,8,1,48T,103,24.8,5
Texans,416,1587,3.8,9,4,0,24,79,19,5
Packers,414,1781,4.3,10,13,1,40T,91,22,5
Buccaneers,410,1396,3.4,8,4,0,38T,71,17.3,4
Chargers,401,1524,3.8,11,9,3,55T,81,20.2,5
Patriots,394,1539,3.9,9,3,1,64,90,22.8,3
Chiefs,389,1661,4.3,9,9,1,48T,101,26,2
Raiders,382,1413,3.7,10,6,3,63,73,19.1,5
Vikings,371,1464,4,7,5,0,31,73,19.7,9
Seahawks,357,1442,4,11,12,1,45T,84,23.5,2
Bengals,353,1344,3.8,11,5,0,31,80,22.7,1
Jets,346,1462,4.2,6,8,3,83,68,19.6,11
Commanders,342,1542,4.5,14,8,0,29,96,28.1,5
