Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Chiefs,406,4229,10.4,28,50,8,67,210,51.7,7
Bengals,399,4081,10.2,24,44,10,80,198,49.6,3
Cowboys,394,4351,11,32,62,7,92,206,52.3,6
Vikings,394,4304,10.9,28,65,6,62,205,52,4
Commanders,387,4017,10.4,23,48,5,51,181,46.8,5
Lions,385,4286,11.1,28,65,7,63T,215,55.8,4
Saints,384,3961,10.3,24,47,11,58T,186,48.4,0
Jaguars,383,4097,10.7,20,50,9,65,187,48.8,8
Chargers,381,4054,10.6,24,53,7,79,192,50.4,8
Dolphins,376,4525,12,29,57,12,78,214,56.9,4
Bills,355,3947,11.1,27,44,8,81,185,52.1,6
Seahawks,355,3978,11.2,21,53,6,73,181,51,0
Texans,352,4314,12.3,25,65,9,75,205,58.2,3
Eagles,349,3864,11.1,23,49,7,63,188,53.9,3
Jets,348,3303,9.5,11,36,3,68,153,44,2
Packers,347,3894,11.2,30,53,6,77,197,56.8,5
Rams,344,4137,12,24,63,8,80,195,56.7,4
Buccaneers,344,3907,11.4,28,59,12,75,182,52.9,6
Browns,342,3845,11.2,22,51,15,75,165,48.2,5
Colts,342,3741,10.9,18,43,11,75,172,50.3,3
Panthers,339,3151,9.3,13,30,4,48T,148,43.7,6
Patriots,339,3304,9.8,16,33,4,58,150,44.2,5
Cardinals,333,3168,9.5,17,33,3,69,162,48.6,2
Raiders,328,3422,10.4,18,32,4,50T,170,51.8,3
49ers,320,4388,13.7,32,73,14,76,197,61.6,3
Broncos,317,3294,10.4,27,38,12,60,142,44.8,7
Ravens,313,3735,11.9,26,51,9,80,171,54.6,6
Giants,313,3040,9.7,14,40,6,80,128,40.9,3
Bears,310,3273,10.6,19,46,5,58T,161,51.9,4
Steelers,305,3269,10.7,12,40,8,86,145,47.5,5
Falcons,302,3457,11.4,15,43,8,75,170,56.3,2
Titans,287,3344,11.6,12,52,10,70,148,51.6,2
