Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,242,78,31,17,165,48.2,116,23.5,1134
Panthers,237,83,46,21,148,43.7,103,24.8,1046
Giants,234,69,37,18,128,40.9,88,20.8,991
Bears,227,95,25,12,161,51.9,133,26.1,1051
Saints,225,88,18,8,186,48.4,100,22.5,1055
Colts,221,81,31,16,172,50.3,102,23.1,1032
Cowboys,220,105,22,12,206,52.3,107,24.4,1053
Jets,220,58,28,17,153,44,68,19.6,990
Buccaneers,220,92,18,12,182,52.9,71,17.3,983
Texans,219,83,20,8,205,58.2,79,19,1027
Chargers,218,84,29,13,192,50.4,81,20.2,1026
Steelers,217,79,19,9,145,47.5,107,23.9,967
Lions,215,92,38,19,215,55.8,119,25,1081
Falcons,214,86,18,8,170,56.3,118,23.7,1032
Jaguars,214,79,26,13,187,48.8,93,21.6,1048
Packers,213,98,24,12,197,56.8,91,22,992
Eagles,212,103,25,19,188,53.9,140,28.8,1047
Cardinals,212,83,32,13,162,48.6,114,26.3,999
Rams,211,86,17,10,195,56.7,103,23.4,1032
Vikings,210,83,26,15,205,52,73,19.7,1001
Broncos,208,77,17,11,142,44.8,111,25.8,957
Patriots,208,66,22,9,150,44.2,90,22.8,961
Bengals,206,79,20,9,198,49.6,80,22.7,987
Commanders,206,75,25,13,181,46.8,96,28.1,1011
Bills,204,100,13,8,185,52.1,147,30.9,1038
Chiefs,204,90,19,9,210,51.7,101,26,1021
Raiders,203,70,23,14,170,51.8,73,19.1,944
Titans,201,65,19,11,148,51.6,95,22.7,947
Seahawks,195,69,16,6,181,51,84,23.5,942
Ravens,194,83,13,7,171,54.6,140,27.1,1019
Dolphins,192,81,25,11,214,56.9,108,24.8,1005
49ers,169,80,12,6,197,61.6,138,29.4,966
