Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,26,26,54,2
Dolphins,26,29,59,0
Lions,25,28,54,3
49ers,25,32,58,0
Bills,22,27,51,3
Eagles,22,23,48,1
Colts,18,18,41,3
Jaguars,17,20,39,3
Rams,17,24,41,3
Bears,16,19,37,1
Cardinals,16,17,34,4
Browns,15,22,40,6
Steelers,15,12,29,1
Falcons,14,15,30,2
Titans,14,12,27,1
Commanders,14,23,38,3
Cowboys,13,32,51,3
Bengals,11,24,37,1
Saints,11,24,38,4
Chargers,11,24,36,1
Seahawks,11,21,35,1
Packers,10,30,42,2
Raiders,10,18,33,2
Texans,9,25,37,2
Chiefs,9,28,38,0
Patriots,9,16,27,0
Giants,8,14,26,1
Buccaneers,8,28,37,2
Panthers,7,13,23,3
Broncos,7,27,36,4
Vikings,7,28,37,1
Jets,6,11,21,2
