Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Commanders,323,3339,10.3,18,37,3,51,154,47.7,4
Vikings,309,3264,10.6,23,48,5,62,155,50.2,4
Bills,295,3214,10.9,24,35,6,81,149,50.5,5
Chiefs,283,2948,10.4,21,32,4,54,147,51.9,5
Lions,275,3075,11.2,18,49,5,46,151,54.9,3
Cowboys,274,3049,11.1,23,47,4,60,147,53.6,5
Saints,272,2830,10.4,13,33,9,58,126,46.3,0
Bengals,271,2604,9.6,17,25,4,64,129,47.6,3
Chargers,267,2875,10.8,21,40,5,60,138,51.7,7
Dolphins,265,3244,12.2,23,42,8,69,157,59.2,4
Jaguars,254,2772,10.9,12,35,7,57,123,48.4,6
Panthers,251,2245,8.9,11,21,4,48T,111,44.2,3
Texans,251,3274,13,20,54,6,75,156,62.2,2
Raiders,246,2630,10.7,11,22,4,50T,130,52.8,1
Buccaneers,246,2588,10.5,17,37,7,70T,122,49.6,5
Cardinals,245,2350,9.6,10,24,3,69T,118,48.2,0
Patriots,243,2278,9.4,10,19,2,58T,106,43.6,4
Eagles,242,2697,11.1,18,37,7,63,123,50.8,1
Seahawks,240,2650,11,12,32,5,64T,120,50,0
Colts,237,2549,10.8,11,32,6,75,119,50.2,2
Ravens,233,2656,11.4,14,37,6,80T,116,49.8,6
Giants,231,2185,9.5,11,31,4,58,98,42.4,3
Bears,230,2397,10.4,15,30,3,58T,123,53.5,4
Rams,226,2661,11.8,13,42,4,49T,129,57.1,1
Jets,225,2174,9.7,7,22,3,68,98,43.6,2
Packers,221,2585,11.7,19,34,5,77,125,56.6,3
Broncos,218,2199,10.1,20,26,5,60,99,45.4,6
Browns,217,2218,10.2,9,24,6,59,103,47.5,3
Falcons,216,2428,11.2,10,30,5,60T,119,55.1,1
49ers,216,2878,13.3,19,48,7,76,133,61.6,2
Steelers,212,2156,10.2,7,25,4,72,95,44.8,2
Titans,194,2246,11.6,9,34,9,70,95,49,1
