Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,486,323,66.5,6.9,3339,18,13,87.3,154,31.7,37,3,51T,55,375
Vikings,449,309,68.8,7.3,3264,23,10,97.5,155,34.5,48,5,62T,27,161
Bills,433,295,68.1,7.4,3214,24,13,95.8,149,34.4,35,6,81T,15,83
Saints,420,272,64.8,6.7,2830,13,8,86.5,126,30,33,9,58T,25,160
Chiefs,417,283,67.9,7.1,2948,21,11,93.9,147,35.2,32,4,54,14,105
Panthers,409,251,61.4,5.5,2245,11,8,76.9,111,27.1,21,4,48T,43,339
Bengals,406,271,66.8,6.4,2604,17,7,91.2,129,31.8,25,4,64T,31,229
Lions,405,275,67.9,7.6,3075,18,8,96.9,151,37.3,49,5,46,21,121
Chargers,403,267,66.2,7.1,2875,21,6,98.2,138,34.2,40,5,60T,25,196
Cardinals,394,245,62.2,6,2350,10,9,77.7,118,30,24,3,69T,33,241
Texans,393,251,63.9,8.3,3274,20,5,101.7,156,39.7,54,6,75,27,236
Browns,391,217,55.5,5.7,2218,9,13,65.8,103,26.3,24,6,59,33,225
Cowboys,390,274,70.3,7.8,3049,23,7,105.4,147,37.7,47,4,60,23,163
Raiders,389,246,63.2,6.8,2630,11,17,74.2,130,33.4,22,4,50T,28,214
Patriots,384,243,63.3,5.9,2278,10,14,73,106,27.6,19,2,58T,25,146
Buccaneers,382,246,64.4,6.8,2588,17,7,91.2,122,31.9,37,7,70,26,137
Colts,381,237,62.2,6.7,2549,11,8,82.7,119,31.2,32,6,75,24,129
Rams,380,226,59.5,7,2661,13,10,81.3,129,34,42,4,49,22,168
Dolphins,380,265,69.7,8.5,3244,23,11,103.9,157,41.3,42,8,69,18,106
Jaguars,377,254,67.4,7.4,2772,12,7,91.7,123,32.6,35,7,57,25,154
Jets,376,225,59.8,5.8,2174,7,10,71.2,98,26.1,22,3,68T,47,339
Packers,373,226,60.6,7,2613,19,10,87.6,128,34.3,34,5,77,22,170
Seahawks,373,240,64.3,7.1,2650,12,9,86,120,32.2,32,5,64T,27,210
Bears,365,237,64.9,6.7,2446,15,12,84.1,125,34.2,30,3,58,35,219
Eagles,358,242,67.6,7.5,2697,18,10,94.9,123,34.4,37,7,63T,29,156
Giants,352,231,65.6,6.2,2185,11,9,82.4,98,27.8,31,4,58,69,366
Steelers,346,212,61.3,6.2,2156,7,6,78.6,95,27.5,25,4,72,25,188
Falcons,343,216,63,7.1,2428,10,9,82.8,119,34.7,30,5,60T,30,211
Ravens,342,233,68.1,7.8,2656,14,5,98.8,116,33.9,37,6,80,29,166
Broncos,319,218,68.3,6.9,2199,20,4,103.4,99,31,26,5,60T,33,164
Titans,317,194,61.2,7.1,2246,9,8,81.6,95,30,34,9,70,36,252
49ers,309,216,69.9,9.3,2878,19,6,111.6,133,43,48,7,76T,21,127
