Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,22,14,37,1
Dolphins,19,23,44,0
49ers,18,19,37,0
Lions,17,18,36,3
Eagles,17,18,36,1
Colts,16,11,29,2
Bills,14,24,39,3
Jaguars,12,12,26,3
Browns,11,9,21,4
Rams,11,13,24,2
Cardinals,11,10,21,3
Falcons,10,10,21,1
Cowboys,10,23,39,3
Chargers,9,21,31,1
Commanders,9,18,28,2
Bears,8,15,24,1
Titans,8,9,17,0
Raiders,8,11,20,1
Steelers,8,7,16,0
Texans,7,20,28,1
Saints,7,13,22,3
Seahawks,7,12,22,1
Packers,6,19,26,2
Chiefs,6,21,27,0
Patriots,6,10,16,0
Vikings,5,23,28,1
Bengals,4,17,23,0
Giants,4,11,17,0
Buccaneers,4,17,22,2
Panthers,3,11,17,1
Broncos,3,20,24,2
Jets,3,7,12,2
