Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Giants,178,55,23,11,98,42.4,63,19.2,749
Browns,166,52,18,9,103,47.5,88,24,791
Bears,164,71,19,10,123,53.5,89,25.7,776
Saints,162,60,14,8,126,46.3,70,23,750
Panthers,161,60,26,15,111,44.2,67,25.1,719
Vikings,159,64,21,14,155,50.2,57,20.1,760
Commanders,157,60,17,8,154,47.7,75,29.2,798
Bills,155,77,12,7,149,50.5,104,31.3,780
Colts,154,58,22,11,119,50.2,72,23,718
Chargers,154,67,20,11,138,51.7,57,20.4,707
Cardinals,153,54,25,8,118,48.2,76,24.9,732
Steelers,153,55,9,4,95,44.8,72,24.9,660
Ravens,152,66,10,4,116,49.8,108,27.7,761
Lions,152,65,27,13,151,54.9,80,24.4,754
Cowboys,151,72,15,7,147,53.6,74,24.1,720
Buccaneers,151,61,12,8,122,49.6,50,18.7,675
Texans,150,66,12,5,156,62.2,55,18.9,711
Packers,149,65,19,10,125,56.6,51,19.4,669
Falcons,148,62,14,6,119,55.1,90,25.6,725
Eagles,148,70,17,13,123,50.8,102,29.2,736
Rams,147,61,15,9,129,57.1,69,23.5,696
Raiders,146,50,19,10,130,52.8,52,18.2,702
Patriots,146,49,17,7,106,43.6,71,25.7,685
Jets,145,35,18,12,98,43.6,44,19.5,649
Jaguars,144,53,16,7,123,48.4,66,20.6,722
Chiefs,140,64,10,5,147,51.9,73,26.2,710
Bengals,139,48,11,5,129,47.6,52,23.6,657
Broncos,137,53,9,4,99,45.4,69,24.1,638
Seahawks,134,42,12,6,120,50,62,24.2,656
Titans,132,42,12,7,95,49,59,22.3,618
Dolphins,123,52,15,5,157,59.2,74,25.3,690
49ers,117,52,7,4,133,61.6,93,27.7,666
