Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,390,1903,4.9,22,14,3,60,108,27.7,4
Browns,367,1534,4.2,11,7,3,69,88,24,7
Falcons,352,1532,4.4,10,6,0,38,90,25.6,5
Eagles,349,1466,4.2,17,8,1,43,102,29.2,7
Bears,346,1547,4.5,8,8,0,34,89,25.7,4
49ers,336,1496,4.4,18,6,2,65,93,27.7,4
Bills,332,1468,4.4,14,7,1,42,104,31.3,5
Lions,328,1506,4.6,17,10,3,75T,80,24.4,4
Giants,328,1285,3.9,4,7,0,36T,63,19.2,5
Jaguars,320,1168,3.6,12,8,0,35T,66,20.6,2
Colts,313,1335,4.3,16,9,3,56,72,23,3
Cowboys,307,1268,4.1,10,8,1,46,74,24.1,3
Saints,305,1148,3.8,7,2,0,29T,70,23,4
Cardinals,305,1461,4.8,11,14,3,45T,76,24.9,3
Rams,294,1254,4.3,11,7,1,56T,69,23.5,1
Dolphins,292,1597,5.5,19,15,7,76T,74,25.3,12
Texans,291,1086,3.7,7,2,0,22,55,18.9,3
Steelers,289,1254,4.3,8,11,1,74T,72,24.9,4
Broncos,286,1271,4.4,3,8,0,38,69,24.1,4
Raiders,285,992,3.5,8,4,2,63,52,18.2,5
Vikings,284,1105,3.9,5,3,0,31,57,20.1,9
Chiefs,279,1171,4.2,6,5,1,48T,73,26.2,1
Chargers,279,1143,4.1,9,8,3,55T,57,20.4,2
Patriots,276,1096,4,6,2,1,64T,71,25.7,1
Panthers,267,1019,3.8,3,3,0,26,67,25.1,3
Buccaneers,267,894,3.4,4,2,0,38,50,18.7,2
Titans,265,1130,4.3,8,6,1,63,59,22.3,3
Packers,263,1099,4.2,6,8,1,40T,51,19.4,4
Commanders,257,1161,4.5,9,7,0,29,75,29.2,5
Seahawks,256,1054,4.1,7,7,1,45T,62,24.2,1
Jets,226,1027,4.5,3,6,3,83T,44,19.5,8
Bengals,220,834,3.8,4,3,0,22,52,23.6,0
